unixtimestamp,date,high,low,close,thursdays,expirydate,firstclose,firstclosedate,strikeprice,downloaded_filename,cleaned_filename,downloaded,strike_price_call_name,strike_price_call,strike_price_call_high,strike_price_call_low,strike_price_put_name,strike_price_put,strike_price_put_high,strike_price_put_low,position_price,position_price_max_1,position_price_max_2
1701834300,2023-12-06,20961.94921875,20852.150390625,20937.69921875,2023-12-07,2023-12-07,20937.69921875,2023-12-06,20900,op061223.csv,op061223_cleaned.csv,True,OPTIDXNIFTY07-DEC-2023CE20900,87.95,117.55,45.65,OPTIDXNIFTY07-DEC-2023PE20900,34.8,88.85,28.6,122.75,146.15,134.5
1701920700,2023-12-07,20941.25,20850.80078125,20901.150390625,2023-12-07,2023-12-07,20937.69921875,2023-12-06,20900,op071223.csv,op071223_cleaned.csv,True,OPTIDXNIFTY07-DEC-2023CE20900,2.55,87.0,0.85,OPTIDXNIFTY07-DEC-2023PE20900,3.4,67.9,0.05,5.949999999999999,87.05,68.75
1702007100,2023-12-08,21006.099609375,20862.69921875,20969.400390625,2023-12-14,2023-12-14,20969.400390625,2023-12-08,21000,op081223.csv,op081223_cleaned.csv,True,OPTIDXNIFTY14-DEC-2023CE21000,110.4,140.0,64.55,OPTIDXNIFTY14-DEC-2023PE21000,95.7,170.95,84.5,206.10000000000002,224.5,235.5
1702266300,2023-12-11,21026.099609375,20923.69921875,20997.099609375,2023-12-14,2023-12-14,20969.400390625,2023-12-08,21000,op111223.csv,op111223_cleaned.csv,True,OPTIDXNIFTY14-DEC-2023CE21000,101.7,127.35,79.55,OPTIDXNIFTY14-DEC-2023PE21000,79.75,115.35,65.55,181.45,192.89999999999998,194.89999999999998
1702352700,2023-12-12,21037.900390625,20867.150390625,20906.400390625,2023-12-14,2023-12-14,20969.400390625,2023-12-08,21000,op121223.csv,op121223_cleaned.csv,True,OPTIDXNIFTY14-DEC-2023CE21000,58.25,121.8,45.55,OPTIDXNIFTY14-DEC-2023PE21000,109.9,129.7,55.5,168.15,177.3,175.25
1702439100,2023-12-13,20950.0,20769.5,20926.349609375,2023-12-14,2023-12-14,20969.400390625,2023-12-08,21000,op131223.csv,op131223_cleaned.csv,True,OPTIDXNIFTY14-DEC-2023CE21000,22.9,60.0,9.05,OPTIDXNIFTY14-DEC-2023PE21000,93.3,213.65,81.6,116.19999999999999,141.6,222.70000000000002
1702525500,2023-12-14,21210.900390625,21074.44921875,21182.69921875,2023-12-14,2023-12-14,20969.400390625,2023-12-08,21000,op141223.csv,op141223_cleaned.csv,True,OPTIDXNIFTY14-DEC-2023CE21000,173.0,212.0,71.15,OPTIDXNIFTY14-DEC-2023PE21000,0.1,24.95,0.05,173.1,212.05,96.10000000000001
1702611900,2023-12-15,21492.30078125,21235.30078125,21456.650390625,2023-12-21,2023-12-21,21456.650390625,2023-12-15,21500,op151223.csv,op151223_cleaned.csv,True,OPTIDXNIFTY21-DEC-2023CE21500,123.45,152.0,39.2,OPTIDXNIFTY21-DEC-2023PE21500,116.1,236.6,103.05,239.55,255.05,275.8
1702871100,2023-12-18,21482.80078125,21365.349609375,21418.650390625,2023-12-21,2023-12-21,21456.650390625,2023-12-15,21500,op181223.csv,op181223_cleaned.csv,True,OPTIDXNIFTY21-DEC-2023CE21500,65.4,120.0,52.35,OPTIDXNIFTY21-DEC-2023PE21500,147.35,161.55,114.3,212.75,234.3,213.9
1702957500,2023-12-19,21505.05078125,21337.75,21453.099609375,2023-12-21,2023-12-21,21456.650390625,2023-12-15,21500,op191223.csv,op191223_cleaned.csv,True,OPTIDXNIFTY21-DEC-2023CE21500,55.0,97.4,34.05,OPTIDXNIFTY21-DEC-2023PE21500,93.15,177.9,65.15,148.15,162.55,211.95
1703043900,2023-12-20,21593.0,21087.349609375,21150.150390625,2023-12-21,2023-12-21,21456.650390625,2023-12-15,21500,op201223.csv,op201223_cleaned.csv,True,OPTIDXNIFTY21-DEC-2023CE21500,4.7,125.0,3.5,OPTIDXNIFTY21-DEC-2023PE21500,354.7,417.5,24.95,359.4,149.95,421.0
1703130300,2023-12-21,21288.349609375,20976.80078125,21255.05078125,2023-12-21,2023-12-21,21456.650390625,2023-12-15,21500,op211223.csv,op211223_cleaned.csv,True,OPTIDXNIFTY21-DEC-2023CE21500,0.15,3.1,0.05,OPTIDXNIFTY21-DEC-2023PE21500,252.3,550.0,219.25,252.45000000000002,222.35,550.05
1703216700,2023-12-22,21390.5,21232.44921875,21349.400390625,2023-12-28,2023-12-28,21349.400390625,2023-12-22,21300,op221223.csv,op221223_cleaned.csv,True,OPTIDXNIFTY28-DEC-2023CE21300,189.55,252.95,126.25,OPTIDXNIFTY28-DEC-2023PE21300,81.15,141.95,72.6,270.70000000000005,325.54999999999995,268.2
1703562300,2023-12-26,21477.150390625,21329.44921875,21441.349609375,2023-12-28,2023-12-28,21349.400390625,2023-12-22,21300,op261223.csv,op261223_cleaned.csv,True,OPTIDXNIFTY28-DEC-2023CE21300,209.5,274.3,135.15,OPTIDXNIFTY28-DEC-2023PE21300,36.05,82.55,28.55,245.55,302.85,217.7
1703648700,2023-12-27,21675.75,21495.80078125,21654.75,2023-12-28,2023-12-28,21349.400390625,2023-12-22,21300,op271223.csv,op271223_cleaned.csv,True,OPTIDXNIFTY28-DEC-2023CE21300,386.0,415.0,235.0,OPTIDXNIFTY28-DEC-2023PE21300,7.25,22.35,6.45,393.25,421.45,257.35
1703735100,2023-12-28,21801.44921875,21678.0,21778.69921875,2023-12-28,2023-12-28,21349.400390625,2023-12-22,21300,op281223.csv,op281223_cleaned.csv,True,OPTIDXNIFTY28-DEC-2023CE21300,474.55,491.5,394.2,OPTIDXNIFTY28-DEC-2023PE21300,0.15,4.7,0.05,474.7,491.55,398.9
1703821500,2023-12-29,21770.30078125,21676.900390625,21731.400390625,2024-01-04,2024-01-04,21731.400390625,2023-12-29,21700,op291223.csv,op291223_cleaned.csv,True,OPTIDXNIFTY04-JAN-2024CE21700,186.6,300.0,146.9,OPTIDXNIFTY04-JAN-2024PE21700,96.1,154.9,78.45,282.7,378.45,301.8
1704080700,2024-01-01,21834.349609375,21680.849609375,21741.900390625,2024-01-04,2024-01-04,21731.400390625,2023-12-29,21700,op010124.csv,op010124_cleaned.csv,True,OPTIDXNIFTY04-JAN-2024CE21700,162.65,271.25,112.25,OPTIDXNIFTY04-JAN-2024PE21700,66.5,127.65,36.15,229.15,307.4,239.9
1704167100,2024-01-02,21755.599609375,21555.650390625,21665.80078125,2024-01-04,2024-01-04,21731.400390625,2023-12-29,21700,op020124.csv,op020124_cleaned.csv,True,OPTIDXNIFTY04-JAN-2024CE21700,69.15,140.0,54.6,OPTIDXNIFTY04-JAN-2024PE21700,104.2,177.25,65.0,173.35000000000002,205.0,231.85
1704253500,2024-01-03,21677.0,21500.349609375,21517.349609375,2024-01-04,2024-01-04,21731.400390625,2023-12-29,21700,op030124.csv,op030124_cleaned.csv,True,OPTIDXNIFTY04-JAN-2024CE21700,7.95,61.0,6.0,OPTIDXNIFTY04-JAN-2024PE21700,199.5,224.8,105.3,207.45,166.3,230.8
