Date,Open,High,Low,Close
26-Jul-19,11247.45,11307.6,11210.05,11284.3
25-Jul-19,11290.4,11361.4,11239.35,11252.15
24-Jul-19,11322.45,11359.75,11229.8,11271.3
23-Jul-19,11372.25,11398.15,11302.8,11331.05
22-Jul-19,11392.85,11398.15,11301.25,11346.2
19-Jul-19,11627.95,11640.35,11399.3,11419.25
18-Jul-19,11675.6,11677.15,11582.4,11596.9
17-Jul-19,11670.75,11706.65,11651.15,11687.5
16-Jul-19,11596.65,11670.05,11573.95,11662.6
15-Jul-19,11614.75,11618.4,11532.3,11588.35
12-Jul-19,11601.15,11639.55,11538.6,11552.5
11-Jul-19,11561.45,11599,11519.5,11582.9
10-Jul-19,11536.15,11593.7,11475.65,11498.9
9-Jul-19,11531.6,11582.55,11461,11555.9
8-Jul-19,11770.4,11771.9,11523.3,11558.6
5-Jul-19,11964.75,11981.75,11797.9,11811.15
4-Jul-19,11928.8,11969.25,11923.65,11946.75
3-Jul-19,11932.15,11945.2,11887.05,11916.75
2-Jul-19,11890.3,11917.45,11814.7,11910.3
1-Jul-19,11839.9,11884.65,11830.8,11865.6
28-Jun-19,11861.15,11871.7,11775.5,11788.85
27-Jun-19,11860.85,11911.15,11821.05,11841.55
26-Jun-19,11768.15,11871.85,11757.55,11847.55
25-Jun-19,11681,11814.4,11651,11796.45
24-Jun-19,11725.8,11754,11670.2,11699.65
21-Jun-19,11827.6,11827.95,11705.1,11724.1
20-Jun-19,11653.65,11843.5,11635.05,11831.75
19-Jun-19,11744.45,11802.5,11625.1,11691.45
18-Jun-19,11677.05,11727.2,11641.15,11691.5
17-Jun-19,11844,11844.05,11657.75,11672.15
14-Jun-19,11910.1,11911.85,11797.7,11823.3
13-Jun-19,11873.9,11931.35,11817.05,11914.05
12-Jun-19,11962.45,11962.45,11866.35,11906.2
11-Jun-19,11959.85,12000.35,11904.35,11965.6
10-Jun-19,11934.9,11975.05,11871.75,11922.7
7-Jun-19,11865.2,11897.5,11769.5,11870.65
6-Jun-19,12039.8,12039.8,11830.25,11843.75
4-Jun-19,12052.65,12095.2,12005.85,12021.65
3-Jun-19,11953.75,12103.05,11920.1,12088.55
31-May-19,11999.8,12039.25,11829.45,11922.8
30-May-19,11865.3,11968.55,11859.4,11945.9
29-May-19,11905.8,11931.9,11836.8,11861.1
28-May-19,11958.35,11958.55,11864.9,11928.75
27-May-19,11855.5,11957.15,11812.4,11924.75
24-May-19,11748,11859,11658.1,11844.1
23-May-19,11901.3,12041.15,11614.5,11657.05
22-May-19,11727.95,11784.8,11682.4,11737.9
21-May-19,11863.65,11883.55,11682.8,11709.1
20-May-19,11651.9,11845.2,11591.7,11828.25
17-May-19,11261.9,11426.15,11259.85,11407.15
16-May-19,11180.35,11281.55,11143.35,11257.1
15-May-19,11271.7,11286.8,11136.95,11157
14-May-19,11151.65,11294.75,11108.3,11222.05
13-May-19,11258.7,11300.2,11125.6,11148.2
10-May-19,11314.15,11345.8,11251.05,11278.9
9-May-19,11322.4,11357.6,11255.05,11301.8
8-May-19,11478.7,11479.1,11346.95,11359.45
7-May-19,11651.5,11657.05,11484.45,11497.9
6-May-19,11605.8,11632.55,11571.35,11598.25
3-May-19,11722.6,11770.9,11699.35,11712.25
2-May-19,11725.55,11789.3,11699.55,11724.75
30-Apr-19,11748.75,11756.25,11655.9,11748.15
26-Apr-19,11683.75,11762.9,11661.75,11754.65
25-Apr-19,11735.7,11796.75,11624.3,11641.8
24-Apr-19,11601.5,11740.85,11578.85,11726.15
23-Apr-19,11612.95,11645.95,11564.8,11575.95
22-Apr-19,11727.05,11727.05,11583.95,11594.45
18-Apr-19,11856.15,11856.15,11738.5,11752.8
16-Apr-19,11736.2,11810.95,11731.55,11787.15
15-Apr-19,11667,11704.6,11648.25,11690.35
12-Apr-19,11612.85,11657.35,11578.8,11643.45
11-Apr-19,11592.55,11606.7,11550.55,11596.7
10-Apr-19,11646.85,11680.05,11571.75,11584.3
9-Apr-19,11612.05,11683.9,11569.7,11671.95
8-Apr-19,11704.35,11710.3,11549.1,11604.5
5-Apr-19,11638.4,11689.65,11609.5,11665.95
4-Apr-19,11660.2,11662.55,11559.2,11598
3-Apr-19,11735.3,11761,11629.15,11643.95
2-Apr-19,11711.55,11729.35,11655.85,11713.2
1-Apr-19,11665.2,11738.1,11644.75,11669.15
29-Mar-19,11625.45,11630.35,11570.15,11623.9
28-Mar-19,11463.65,11588.5,11452.45,11570
27-Mar-19,11531.45,11546.2,11413,11445.05
26-Mar-19,11375.2,11496.75,11352.45,11483.25
25-Mar-19,11395.65,11395.65,11311.6,11354.25
22-Mar-19,11549.2,11572.8,11434.55,11456.9
20-Mar-19,11553.35,11556.1,11503.1,11521.05
19-Mar-19,11500.3,11543.85,11451.25,11532.4
18-Mar-19,11473.85,11530.15,11412.5,11462.2
15-Mar-19,11376.85,11487,11370.8,11426.85
14-Mar-19,11382.5,11383.45,11313.75,11343.25
13-Mar-19,11326.2,11352.3,11276.6,11341.7
12-Mar-19,11231.35,11320.4,11227,11301.2
11-Mar-19,11068.75,11180.9,11059.85,11168.05
8-Mar-19,11038.85,11049,11008.95,11035.4
7-Mar-19,11077.95,11089.05,11027.1,11058.2
6-Mar-19,11024.85,11062.3,10998.85,11053
5-Mar-19,10864.85,10994.9,10817,10987.45
1-Mar-19,10842.65,10877.9,10823.1,10863.5
28-Feb-19,10865.7,10865.7,10784.85,10792.5
27-Feb-19,10881.2,10939.7,10751.2,10806.65
26-Feb-19,10775.3,10888.75,10729.3,10835.3
25-Feb-19,10813.25,10887.1,10788.05,10880.1
22-Feb-19,10782.7,10801.55,10758.4,10791.65
21-Feb-19,10744.1,10808.85,10721.5,10789.85
20-Feb-19,10655.45,10752.7,10646.4,10735.45
19-Feb-19,10636.7,10722.85,10585.65,10604.35
18-Feb-19,10738.65,10759.9,10628.4,10640.95
15-Feb-19,10780.25,10785.75,10620.4,10724.4
14-Feb-19,10786.1,10792.7,10718.75,10746.05
13-Feb-19,10870.55,10891.65,10772.1,10793.65
12-Feb-19,10879.7,10910.9,10823.8,10831.4
11-Feb-19,10930.9,10930.9,10857.1,10888.8
8-Feb-19,11023.5,11041.2,10925.45,10943.6
7-Feb-19,11070.45,11118.1,11043.6,11069.4
6-Feb-19,10965.1,11072.6,10962.7,11062.45
5-Feb-19,10908.65,10956.7,10886.7,10934.35
4-Feb-19,10876.75,10927.9,10814.15,10912.25
1-Feb-19,10851.35,10983.45,10813.45,10893.65
31-Jan-19,10690.55,10838.05,10678.55,10830.95
30-Jan-19,10702.25,10710.2,10612.85,10651.8
29-Jan-19,10653.7,10690.35,10583.65,10652.2
28-Jan-19,10792.45,10804.45,10630.95,10661.55
25-Jan-19,10859.75,10931.7,10756.45,10780.55
24-Jan-19,10844.05,10866.6,10798.65,10849.8
