Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-16,16932.5,17067.45,16824.05,17039.25,29215687,842.48
4-Jan-16,16966.35,16966.35,16575.45,16599.15,52324127,1541.5
5-Jan-16,16652.05,16670.2,16474.85,16542.5,53646729,1398.28
6-Jan-16,16505.45,16614.95,16377.65,16433.15,55221322,1497.85
7-Jan-16,16256.55,16256.55,16049.75,16073.85,76230933,2123.7
8-Jan-16,16135.4,16229,16104.1,16142.65,53483569,1559.14
11-Jan-16,15979.05,16156.8,15840.6,16016.25,67298931,1807.79
12-Jan-16,16080.4,16080.4,15699.4,15734.8,98499719,2317.63
13-Jan-16,15835.05,15956.25,15532.25,15871.85,113380181,2788.44
14-Jan-16,15612.1,15803.2,15453.4,15609.8,81791556,2078.88
15-Jan-16,15621.85,15650.7,15154.35,15206.3,98894244,2370.35
18-Jan-16,15165.2,15270.4,14956.95,15020.8,121191177,2858.69
19-Jan-16,15086.75,15338.2,15086.75,15269.65,85097353,2244.94
20-Jan-16,15059.5,15533.45,14754.65,14935.5,92651950,2387.1
21-Jan-16,15132.2,15364.6,14918.15,15101.2,109781594,2868.71
22-Jan-16,15343.15,15575.65,15274.9,15497.55,87614131,2171.13
25-Jan-16,15667,15682.65,15495.1,15561.15,66198778,1818.37
27-Jan-16,15648.4,15673.95,15442.2,15534.6,68640342,1620.28
28-Jan-16,15569.55,15572.2,15349.75,15381.45,85676389,2253.06
29-Jan-16,15140.15,15554.9,15136.85,15522.4,137127980,3961.51
1-Feb-16,15547.75,15565.5,15281.35,15314.45,101914265,2931.57
2-Feb-16,15353.6,15463.45,15018.85,15068,117353243,2840.84
3-Feb-16,14897.4,14947.8,14777.75,14834.05,84639389,2169.51
4-Feb-16,14969.2,14978.35,14761.4,14869.15,91114395,2315.65
5-Feb-16,14928.25,15211.9,14890.9,15162.05,97272505,2486.58
8-Feb-16,15206.3,15367.9,14960.1,15046.8,89200251,2170.65
9-Feb-16,14830.4,14964.9,14760.8,14875.1,104650249,2188.07
10-Feb-16,14740.2,14779.15,14490.2,14588.45,125483478,2671.87
11-Feb-16,14518.65,14530.8,13969.85,14028.55,177103186,3557.95
12-Feb-16,14088.6,14154.55,13810.6,13971.5,159082790,3869.88
15-Feb-16,14120.9,14548.15,14120.5,14445,173684225,3623
16-Feb-16,14602.25,14602.25,14136.8,14166.45,122479893,2661.57
17-Feb-16,14165.25,14186.1,13892.1,14119.85,132908648,2737.11
18-Feb-16,14301.75,14385.65,14180.9,14298.15,108987470,2402.51
19-Feb-16,14243.45,14395.85,14207.35,14344.2,99325491,2016.18
22-Feb-16,14331.2,14467.15,14322.65,14384.8,68267346,1536.4
23-Feb-16,14373.3,14373.3,13961.75,14008.35,81430644,1965.76
24-Feb-16,13873.7,13974.5,13760.25,13794.05,92126868,2031.46
25-Feb-16,13844.45,13844.45,13519.9,13555.7,107787803,2375.44
26-Feb-16,13715.1,13889.25,13595.2,13791.45,102344200,2155.84
29-Feb-16,13818.9,14222.3,13407.25,13946.4,262463001,6538.28
1-Mar-16,14064.8,14445.7,14064.8,14412.9,99318596,2340.78
2-Mar-16,14770.35,15138.7,14767.3,15092.45,176235867,3966.29
3-Mar-16,15150.05,15206.25,15000.05,15177.75,106177314,2659.42
4-Mar-16,15243.75,15451.75,15005.5,15339.2,131358681,2755.33
8-Mar-16,15323.45,15326.65,15066.5,15146.5,93409280,2172.12
9-Mar-16,15022.35,15331.25,14989.4,15279.05,103166377,2532.39
10-Mar-16,15347.45,15354.15,15098.5,15180.65,71231660,1842.52
11-Mar-16,15133.75,15343.55,15024.8,15168.2,76974856,2153.88
14-Mar-16,15309.05,15416.15,15220.15,15277.8,62568481,1651.96
15-Mar-16,15310.45,15386.85,15268.1,15326.8,75740344,2008.44
16-Mar-16,15304.35,15489.5,15178.3,15461.7,80437373,2070.96
17-Mar-16,15622.3,15704.75,15312.5,15444,103772808,2858.64
18-Mar-16,15485.8,15678.55,15456.2,15654.85,71783060,1896
21-Mar-16,15735.55,15945.8,15735.55,15926.1,73595488,1979.57
22-Mar-16,15930.45,15967.85,15779.15,15936,58606010,1669.75
23-Mar-16,15884.25,15919.6,15799.95,15887.75,64078807,1982.19
28-Mar-16,15867.75,15890.7,15522.2,15604.9,83527683,2658.69
29-Mar-16,15583.1,15774.1,15580.8,15666.25,69537187,1823.03
30-Mar-16,15829.6,16167.5,15762.2,16134.85,93824682,2461.58
31-Mar-16,16134.4,16282.75,16062.05,16141.65,161944757,4080.61
1-Apr-16,16099.65,16235.8,16020.6,16174.9,90417981,2174.55
4-Apr-16,16236.9,16278.5,16046.5,16190.6,72458835,1912.58
5-Apr-16,16127.45,16147.15,15659.75,15695,125878076,3117.87
6-Apr-16,15750.15,15768.55,15578.55,15636.95,71126678,1853.86
7-Apr-16,15668.95,15726.6,15458.05,15530.75,70929338,1645.12
8-Apr-16,15519.3,15642.7,15483.05,15568.35,53833509,1396.16
11-Apr-16,15623.35,15853.85,15440.25,15818.5,72003720,1773.01
12-Apr-16,15809.1,15958.8,15794.15,15880.2,66751340,1648.47
13-Apr-16,16087.95,16349.7,16080.55,16278.55,84613287,2362.26
18-Apr-16,16328.7,16330.55,16011.9,16222.7,63260117,1846.69
20-Apr-16,16299.5,16386.35,16160.55,16349.7,85634855,2166.91
21-Apr-16,16526.55,16769.55,16526.55,16637.15,149128885,3646.44
22-Apr-16,16641.05,16755.85,16549.1,16703.4,117886991,2835.84
25-Apr-16,16746.95,16767.9,16605,16678.65,80059352,2003.6
26-Apr-16,16647.75,17029.85,16572,17002.55,104748280,3051.26
27-Apr-16,16869.35,16995,16827.35,16872.95,127303882,4530.95
28-Apr-16,16885.8,17023.35,16692.7,16716.9,136491989,4343.04
29-Apr-16,16712.95,16841.3,16527.55,16795,138730300,3571.79
2-May-16,16614,16674.15,16519.55,16543,101321996,2491.46
3-May-16,16570.75,16719.4,16358.4,16388.7,90747922,2221.84
4-May-16,16320.1,16465.6,16250.5,16274.25,114513664,2742.03
5-May-16,16292.4,16398.25,16193.7,16281,90435449,2488.23
6-May-16,16264.45,16346.25,16186.25,16296.6,74991308,1712.86
