CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY04-JAN-2024CE19050,2753.35,0.0,0.0,0.0,,2702.55,50.8,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY25-JAN-2024PE22850,957.85,0.0,0.0,0.0,,1035.45,77.6,15.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY11-JAN-2024CE22850,15.35,15.75,18.95,8.25,9.8,9.8,5.55,458.0,120000.0,2400.0,21731.4,2743219815.0,1219815.0
OPTIDXNIFTY18-JAN-2024CE22850,36.4,35.7,35.7,24.05,24.45,24.45,11.95,94.0,6150.0,123.0,21731.4,140690170.0,162670.0
OPTIDXNIFTY04-JAN-2024PE18950,0.05,1.1,1.65,1.1,1.4,1.4,1.35,431.0,67900.0,1358.0,21731.4,1286795000.0,90000.0
OPTIDXNIFTY29-FEB-2024CE18950,3048.7,0.0,0.0,0.0,,2997.95,50.75,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY25-JAN-2024CE18750,3125.55,0.0,0.0,0.0,,3074.8,50.75,11.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY30-DEC-2027CE18000,8097.25,0.0,0.0,0.0,,8047.85,49.4,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY26-SEP-2024PE18000,8.6,0.0,0.0,0.0,,8.9,0.3,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY04-JAN-2024CE18750,3052.95,0.0,0.0,0.0,,3002.2,50.75,1.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY25-JAN-2024PE17500,3.4,3.65,3.7,3.25,3.35,3.35,0.05,6313.0,48400.0,968.0,21731.4,847163967.5,163967.5
OPTIDXNIFTY25-JAN-2024CE21350,726.95,684.0,726.0,632.2,670.45,670.45,56.5,716.0,27550.0,551.0,21731.4,606790297.5,18597797.5
OPTIDXNIFTY25-JAN-2024PE21350,148.05,154.55,169.65,125.6,137.7,137.7,10.35,977.0,78900.0,1578.0,21731.4,1696225147.5,11710147.5
OPTIDXNIFTY18-JAN-2024PE21350,120.85,118.0,141.7,107.7,110.35,110.35,10.5,86.0,3000.0,60.0,21731.4,64402922.5,352922.5
OPTIDXNIFTY04-JAN-2024PE21350,29.3,31.95,41.8,17.5,21.35,21.35,7.95,20454.0,14389650.0,287793.0,21731.4,307644979607.5,425952107.5
OPTIDXNIFTY29-FEB-2024PE21350,181.55,284.15,284.15,252.1,252.15,252.15,70.6,57.0,200.0,4.0,21731.4,4323395.0,53395.0
OPTIDXNIFTY11-JAN-2024CE21350,594.65,548.9,591.0,499.1,554.4,554.4,40.25,253.0,11300.0,226.0,21731.4,247543575.0,6288575.0
OPTIDXNIFTY29-FEB-2024CE21350,857.55,0.0,0.0,0.0,,816.35,41.2,58.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY01-FEB-2024CE21350,686.35,0.0,0.0,0.0,,643.45,42.9,58.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY11-JAN-2024PE21150,47.55,52.45,59.1,36.7,41.25,41.25,6.3,1055.0,187500.0,3750.0,21731.4,3974597725.0,8972725.0
OPTIDXNIFTY04-JAN-2024PE21150,13.9,13.85,18.15,7.7,9.05,9.05,4.85,25398.0,8062000.0,161240.0,21731.4,170620395627.5,109095627.5
OPTIDXNIFTY11-JAN-2024CE21150,748.05,695.45,710.0,694.75,710.0,710.0,38.05,41.0,500.0,10.0,21731.4,10924130.0,349130.0
OPTIDXNIFTY01-FEB-2024CE21150,842.4,0.0,0.0,0.0,,796.65,45.75,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY25-JAN-2024CE21150,892.4,838.85,879.8,794.25,844.0,844.0,48.4,294.0,700.0,14.0,21731.4,15397302.5,592302.5
OPTIDXNIFTY29-FEB-2024CE21150,1006.1,0.0,0.0,0.0,,962.45,43.65,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY04-JAN-2024CE21150,700.65,683.55,683.55,564.45,632.45,632.45,68.2,520.0,84900.0,1698.0,21731.4,1850356985.0,54721985.0
OPTIDXNIFTY25-JAN-2024PE21150,111.2,118.9,125.0,95.6,101.3,101.3,9.9,857.0,56550.0,1131.0,21731.4,1202051217.5,6018717.5
OPTIDXNIFTY25-JAN-2024PE17700,0.05,3.05,3.05,3.05,3.05,3.05,3.0,64.0,150.0,3.0,21731.4,2655457.5,457.5
OPTIDXNIFTY01-FEB-2024CE22100,252.2,0.0,0.0,0.0,,225.8,26.4,1.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY29-FEB-2024CE22100,488.45,464.95,485.05,422.75,444.85,444.85,43.6,313.0,17150.0,343.0,21731.4,386756777.5,7741777.5
OPTIDXNIFTY01-FEB-2024PE22100,430.95,0.0,0.0,0.0,,455.9,24.95,0.0,0.0,0.0,21731.4,0.0,0.0
OPTIDXNIFTY25-JAN-2024PE22100,423.55,451.45,478.95,406.25,424.9,424.9,1.35,1511.0,136800.0,2736.0,21731.4,3083654312.5,60374312.5
OPTIDXNIFTY04-JAN-2024PE22100,317.7,331.0,434.55,310.0,344.05,344.05,26.35,6915.0,1019550.0,20391.0,21731.4,22899948750.0,367893750.0
