CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY31-OCT-2024CE24150,1505.0,0.0,0.0,0.0,,1453.45,51.55,4.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY19-SEP-2024PE24150,30.0,22.0,22.5,19.65,22.1,22.1,7.9,310.0,6575.0,263.0,25145.1,158925647.5,139397.5
OPTIDXNIFTY31-OCT-2024PE24150,182.95,0.0,0.0,0.0,,189.75,6.8,5.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY05-SEP-2024CE24150,1016.45,1064.35,1064.35,985.7,997.35,25145.1,24128.65,99.0,1900.0,76.0,25145.1,47815338.75,1930338.75
OPTIDXNIFTY12-SEP-2024CE24150,1094.85,1060.0,1065.0,1038.0,1043.05,1043.05,51.8,31.0,725.0,29.0,25145.1,18268131.25,759381.25
OPTIDXNIFTY03-OCT-2024CE24150,1273.75,0.0,0.0,0.0,,1218.95,54.8,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY26-SEP-2024CE24150,1213.25,1142.95,1162.65,1142.95,1143.6,1143.6,69.65,333.0,1400.0,56.0,25145.1,35416722.5,1606722.5
OPTIDXNIFTY05-SEP-2024PE24150,0.65,0.4,0.45,0.05,0.05,25145.1,25144.45,11434.0,1612300.0,64492.0,25145.1,38937292252.5,247252.5
OPTIDXNIFTY12-SEP-2024PE26300,1072.1,0.0,0.0,0.0,,1125.3,53.2,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY05-SEP-2024CE26300,0.55,0.3,0.35,0.05,0.1,25145.1,25144.55,45725.0,7522175.0,300887.0,25145.1,197834502296.25,1299796.25
OPTIDXNIFTY26-SEP-2024PE26300,1083.65,1028.3,1067.65,1028.3,1065.5,1065.5,18.15,60.0,250.0,10.0,25145.1,6838373.75,263373.75
OPTIDXNIFTY28-NOV-2024PE26300,1180.7,0.0,0.0,0.0,,1211.3,30.6,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY19-SEP-2024PE26300,1073.4,0.0,0.0,0.0,,1120.15,46.75,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY28-NOV-2024CE26300,522.1,0.0,0.0,0.0,,493.95,28.15,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY03-OCT-2024PE26300,1096.5,0.0,0.0,0.0,,1136.55,40.05,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY03-OCT-2024PE25100,301.65,265.0,296.15,261.7,294.8,294.8,6.85,468.0,15775.0,631.0,25145.1,400540072.5,4587572.5
OPTIDXNIFTY03-OCT-2024CE25100,478.35,499.45,499.45,461.05,465.95,465.95,12.4,109.0,1750.0,70.0,25145.1,44761233.75,836233.75
OPTIDXNIFTY26-SEP-2024CE24850,567.5,600.35,616.3,551.8,555.7,555.7,11.8,912.0,3550.0,142.0,25145.1,90244221.25,2026721.25
OPTIDXNIFTY31-OCT-2024PE24850,321.8,301.05,301.05,301.05,301.05,393.1,71.3,112.0,25.0,1.0,25145.1,628776.25,7526.25
OPTIDXNIFTY31-OCT-2024CE24850,1009.3,869.0,869.0,850.15,850.15,964.6,44.7,96.0,75.0,3.0,25145.1,1928090.0,64340.0
OPTIDXNIFTY26-SEP-2024PE24850,180.5,175.1,175.6,150.1,171.0,171.0,9.5,4536.0,97975.0,3919.0,25145.1,2451001818.75,16323068.75
OPTIDXNIFTY12-SEP-2024CE24850,400.85,432.5,449.8,378.35,381.35,381.35,19.5,991.0,48875.0,1955.0,25145.1,1233873671.25,19329921.25
OPTIDXNIFTY19-SEP-2024PE24450,49.7,38.0,42.6,33.05,40.1,40.1,9.6,366.0,15525.0,621.0,25145.1,380174400.0,588150.0
OPTIDXNIFTY28-NOV-2024PE24450,333.55,0.0,0.0,0.0,,344.25,10.7,0.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY31-OCT-2024CE24450,1280.95,0.0,0.0,0.0,,1230.95,50.0,6.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY05-SEP-2024CE24450,731.5,784.65,790.0,692.75,698.15,25145.1,24413.6,134.0,15075.0,603.0,25145.1,379474156.25,10890406.25
OPTIDXNIFTY28-NOV-2024CE24450,1493.85,0.0,0.0,0.0,,1446.15,47.7,1.0,0.0,0.0,25145.1,0.0,0.0
OPTIDXNIFTY12-SEP-2024CE24450,763.15,801.0,801.0,746.95,748.95,748.95,14.2,308.0,10225.0,409.0,25145.1,257891695.0,7890445.0
OPTIDXNIFTY03-OCT-2024CE23400,1950.55,0.0,0.0,0.0,,1892.85,57.7,0.0,0.0,0.0,25145.1,0.0,0.0
