CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY29-FEB-2024CE21200,636.35,603.95,605.55,488.2,528.55,528.55,107.8,4436.0,545450.0,10909.0,21352.6,11850290975.0,286750975.0
OPTIDXNIFTY08-FEB-2024CE21200,497.15,478.8,478.8,354.15,394.35,394.35,102.8,1282.0,265400.0,5308.0,21352.6,5731604480.0,105124480.0
OPTIDXNIFTY22-FEB-2024CE21200,517.05,535.4,558.9,535.4,558.9,441.35,75.7,2.0,200.0,4.0,21352.6,4349430.0,109430.0
OPTIDXNIFTY08-FEB-2024PE21200,139.2,157.0,220.7,132.75,150.5,150.5,11.3,2758.0,731350.0,14627.0,21352.6,15636267975.0,131647975.0
OPTIDXNIFTY01-FEB-2024PE21200,81.2,100.0,164.75,76.0,94.75,94.75,13.55,36328.0,14438850.0,288777.0,21352.6,307855999447.5,1752379447.5
OPTIDXNIFTY15-FEB-2024PE21200,171.35,175.0,255.7,173.15,188.75,188.75,17.4,361.0,29800.0,596.0,21352.6,638226757.5,6466757.5
OPTIDXNIFTY15-FEB-2024CE21200,545.65,475.0,480.0,405.05,443.25,443.25,102.4,147.0,12400.0,248.0,21352.6,268403012.5,5523012.5
OPTIDXNIFTY29-FEB-2024CE18650,2894.05,2822.0,2874.55,2696.55,2813.15,2813.15,80.9,662.0,37800.0,756.0,21352.6,809211930.0,104241930.0
OPTIDXNIFTY08-FEB-2024PE23350,1831.45,0.0,0.0,0.0,,1937.05,105.6,0.0,0.0,0.0,21352.6,0.0,0.0
OPTIDXNIFTY01-FEB-2024PE23350,1861.55,0.0,0.0,0.0,,1967.2,105.65,0.0,0.0,0.0,21352.6,0.0,0.0
OPTIDXNIFTY15-FEB-2024PE23350,1802.15,0.0,0.0,0.0,,1907.3,105.15,0.0,0.0,0.0,21352.6,0.0,0.0
