CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY18-JUL-2024PE23350,14.85,15.3,18.05,9.3,10.25,10.25,4.6,1060.0,61700.0,2468.0,24323.85,1441453603.75,758603.75
OPTIDXNIFTY11-JUL-2024CE23350,967.95,904.35,1027.45,884.25,994.35,994.35,26.4,150.0,4250.0,170.0,24323.85,103351700.0,4114200.0
OPTIDXNIFTY25-JUL-2024CE23350,1116.35,968.0,1040.0,950.0,977.2,1125.9,9.55,239.0,625.0,25.0,24323.85,15201835.0,608085.0
OPTIDXNIFTY29-AUG-2024PE23350,132.85,0.0,0.0,0.0,,191.4,58.55,202.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY01-AUG-2024PE23400,73.1,87.55,87.6,63.0,63.2,63.2,9.9,120.0,1300.0,52.0,24323.85,30507307.5,87307.5
OPTIDXNIFTY01-AUG-2024CE23400,1137.6,0.0,0.0,0.0,,1146.25,8.65,2.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY08-AUG-2024PE23400,,0.0,0.0,0.0,,128.25,,0.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY26-SEP-2024PE22800,162.05,116.0,117.0,103.55,106.0,106.0,56.05,912.0,14200.0,568.0,24323.85,325306506.25,1546506.25
OPTIDXNIFTY01-AUG-2024PE22550,19.85,20.8,21.8,20.8,21.8,17.2,2.65,11.0,75.0,3.0,24323.85,1692835.0,1585.0
OPTIDXNIFTY18-JUL-2024PE22550,5.75,5.3,5.4,3.35,3.6,3.6,2.15,234.0,4375.0,175.0,24323.85,98676151.25,19901.25
OPTIDXNIFTY11-JUL-2024PE22800,2.1,1.85,2.45,1.45,1.8,1.8,0.3,33344.0,6001475.0,240059.0,24323.85,136844619807.5,10989807.5
OPTIDXNIFTY08-AUG-2024PE22550,,0.0,0.0,0.0,,28.45,,0.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY01-AUG-2024CE22800,1660.45,0.0,0.0,0.0,,1673.85,13.4,0.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY29-AUG-2024CE22550,2074.7,0.0,0.0,0.0,,2087.8,13.1,2.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY25-JUL-2024CE22550,1853.55,0.0,0.0,0.0,,1869.2,15.65,110.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY11-JUL-2024PE22550,2.0,1.85,2.45,1.4,1.75,1.75,0.25,1813.0,572000.0,22880.0,24323.85,12899655988.75,1055988.75
OPTIDXNIFTY26-SEP-2024CE22800,2043.5,1841.85,1841.85,1840.0,1840.0,1840.0,203.5,11.0,75.0,3.0,24323.85,1848046.25,138046.25
OPTIDXNIFTY25-JUL-2024PE22550,13.35,16.35,19.65,10.4,10.85,10.85,2.5,1281.0,20225.0,809.0,24323.85,456312691.25,238941.25
OPTIDXNIFTY29-AUG-2024PE22800,70.1,70.1,77.95,63.0,65.4,65.4,4.7,6656.0,103750.0,4150.0,24323.85,2372639995.0,7139995.0
OPTIDXNIFTY26-SEP-2024PE22550,123.9,0.0,0.0,0.0,,118.55,5.35,0.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY01-AUG-2024CE24600,379.85,379.85,379.85,379.85,379.85,378.6,1.25,3.0,50.0,2.0,24323.85,1248992.5,18992.5
OPTIDXNIFTY18-JUL-2024CE24600,86.55,77.1,94.35,55.45,84.1,84.1,2.45,8349.0,1083650.0,43346.0,24323.85,26736494616.25,78704616.25
OPTIDXNIFTY01-AUG-2024CE25300,155.35,77.5,77.5,40.0,49.5,49.5,105.85,132.0,5475.0,219.0,24323.85,138776271.25,258771.25
OPTIDXNIFTY29-AUG-2024PE25300,1073.8,1017.7,1017.7,987.95,987.95,987.95,85.85,9.0,150.0,6.0,24323.85,3945072.5,150072.5
OPTIDXNIFTY18-JUL-2024PE25300,982.7,0.0,0.0,0.0,,961.4,21.3,1.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY08-AUG-2024CE25300,,0.0,0.0,0.0,,205.4,,0.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY11-JUL-2024PE23400,5.25,4.95,6.25,2.4,3.05,3.05,2.2,89851.0,11855650.0,474226.0,24323.85,277471985071.25,49775071.25
OPTIDXNIFTY25-JUL-2024CE23400,1000.5,934.0,1033.05,895.4,990.5,990.5,10.0,8618.0,11250.0,450.0,24323.85,273979162.5,10729162.5
OPTIDXNIFTY25-JUL-2024CE20850,3537.05,0.0,0.0,0.0,,3554.85,17.8,171.0,0.0,0.0,24323.85,0.0,0.0
OPTIDXNIFTY26-SEP-2024PE24200,402.5,417.75,440.25,385.0,392.05,392.05,10.45,384.0,3225.0,129.0,24323.85,79379253.75,1334253.75
