CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY12-DEC-2024PE25400,,0.0,0.0,0.0,,1166.95,,0.0,0.0,0.0,24148.2,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE25400,128.95,126.05,147.6,96.0,99.85,99.85,29.1,2743.0,77675.0,3107.0,24148.2,1981481976.25,8536976.25
OPTIDXNIFTY05-DEC-2024PE24300,341.5,401.9,411.6,303.05,361.6,361.6,20.1,60.0,4850.0,194.0,24148.2,119591610.0,1736610.0
OPTIDXNIFTY14-NOV-2024CE25400,3.35,2.25,3.25,1.4,1.6,1.6,1.75,50954.0,8316475.0,332659.0,24148.2,211256021456.25,17556456.25
OPTIDXNIFTY14-NOV-2024PE25400,1176.65,1244.4,1284.45,1128.25,1230.0,1223.9,47.25,862.0,2000.0,80.0,24148.2,53187540.0,2387540.0
OPTIDXNIFTY14-NOV-2024PE24300,214.75,209.9,307.75,172.9,228.35,228.35,13.6,52066.0,20440500.0,817620.0,24148.2,501398184117.5,4694034117.5
OPTIDXNIFTY30-JAN-2025CE25400,314.8,0.0,0.0,0.0,,292.9,21.9,26.0,0.0,0.0,24148.2,0.0,0.0
OPTIDXNIFTY12-DEC-2024CE24300,,448.9,448.9,409.0,424.8,398.75,,7.0,200.0,8.0,24148.2,4945787.5,85787.5
OPTIDXNIFTY05-DEC-2024PE25400,1127.35,0.0,0.0,0.0,,1172.75,45.4,0.0,0.0,0.0,24148.2,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE24300,572.65,542.95,622.0,491.95,505.25,505.25,67.4,3735.0,61550.0,2462.0,24148.2,1527887886.25,32222886.25
OPTIDXNIFTY26-DEC-2024PE26550,2135.25,0.0,0.0,0.0,,2187.3,52.05,1.0,0.0,0.0,24148.2,0.0,0.0
