CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY21-MAR-2024PE23400,1223.15,0.0,0.0,0.0,,1350.7,127.55,7.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY18-APR-2024PE20650,,0.0,0.0,0.0,,9.2,,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY04-APR-2024CE20650,1577.95,0.0,0.0,0.0,,1451.45,126.5,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY30-MAY-2024PE24250,1813.35,0.0,0.0,0.0,,1928.95,115.6,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY25-APR-2024CE20550,1763.65,0.0,0.0,0.0,,1639.15,124.5,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE20550,1916.7,0.0,0.0,0.0,,1796.1,120.6,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY25-APR-2024PE20550,8.0,34.15,41.45,28.5,30.5,30.5,22.5,95.0,2300.0,46.0,22023.35,47340452.5,75452.5
OPTIDXNIFTY21-MAR-2024PE24250,2072.0,0.0,0.0,0.0,,2199.75,127.75,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY28-MAR-2024PE24250,2040.65,0.0,0.0,0.0,,2168.4,127.75,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY04-APR-2024PE20550,0.75,0.0,0.0,0.0,,1.1,0.35,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY10-APR-2024CE20550,1701.05,0.0,0.0,0.0,,1574.8,126.25,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY18-APR-2024PE20550,,0.0,0.0,0.0,,6.55,,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY04-APR-2024CE24250,3.25,4.45,4.45,2.7,2.75,2.75,0.5,5.0,750.0,15.0,22023.35,18190275.0,2775.0
OPTIDXNIFTY04-APR-2024PE24250,2009.7,0.0,0.0,0.0,,2137.25,127.55,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY28-MAR-2024PE20550,5.5,5.8,8.1,4.5,4.8,4.8,0.7,354.0,44600.0,892.0,22023.35,916818582.5,288582.5
OPTIDXNIFTY21-MAR-2024PE20550,1.75,1.75,1.95,0.85,1.05,1.05,0.7,1549.0,2240700.0,44814.0,22023.35,46049462712.5,3077712.5
OPTIDXNIFTY21-MAR-2024CE20550,1672.65,0.0,0.0,0.0,,1496.15,176.5,105.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY25-APR-2024CE24250,18.1,15.55,18.0,14.0,17.3,17.3,0.8,328.0,16150.0,323.0,22023.35,391897487.5,259987.5
OPTIDXNIFTY10-APR-2024CE24250,1.3,8.4,8.4,4.5,5.15,5.15,3.85,44.0,2000.0,40.0,22023.35,48511915.0,11915.0
OPTIDXNIFTY18-APR-2024CE20550,,0.0,0.0,0.0,,1608.7,,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY25-APR-2024PE24250,1924.2,0.0,0.0,0.0,,2048.75,124.55,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY10-APR-2024PE20400,1.05,0.0,0.0,0.0,,1.5,0.45,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY10-APR-2024CE20400,1849.3,0.0,0.0,0.0,,1722.7,126.6,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY18-APR-2024PE20400,,0.0,0.0,0.0,,3.8,,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY30-MAY-2024PE20400,21.55,0.0,0.0,0.0,,26.45,4.9,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY28-MAR-2024CE20400,1869.35,1760.0,1760.0,1617.6,1690.0,1672.4,196.95,169.0,1300.0,26.0,22023.35,28666567.5,2146567.5
OPTIDXNIFTY21-MAR-2024PE20400,1.6,1.6,1.6,0.75,0.9,0.9,0.7,3866.0,3831950.0,76639.0,22023.35,78176219710.0,4439710.0
OPTIDXNIFTY04-APR-2024CE20400,1826.05,0.0,0.0,0.0,,1699.15,126.9,0.0,0.0,0.0,22023.35,0.0,0.0
OPTIDXNIFTY28-MAR-2024CE22550,97.45,68.2,77.85,44.85,59.75,59.75,37.7,4944.0,1188000.0,23760.0,22023.35,26855941975.0,66541975.0
OPTIDXNIFTY04-APR-2024CE22550,166.65,163.6,163.6,93.8,114.75,114.75,51.9,4265.0,11700.0,234.0,22023.35,265094760.0,1259760.0
OPTIDXNIFTY21-MAR-2024CE22800,7.05,6.3,6.3,2.65,3.0,3.0,4.05,82505.0,36716450.0,734329.0,22023.35,837285374095.0,150314095.0
