CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY28-DEC-2023PE20100,4.5,3.9,4.3,2.35,3.2,3.2,1.3,28301.0,8216000.0,164320.0,21349.4,165169576312.5,27976312.5
OPTIDXNIFTY29-FEB-2024CE20100,1467.95,0.0,0.0,0.0,,1548.85,80.9,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY28-DEC-2023CE20100,1258.8,1242.0,1381.7,1193.85,1314.65,1314.65,55.85,7634.0,34850.0,697.0,21349.4,746028277.5,45543277.5
OPTIDXNIFTY18-JAN-2024CE20100,1269.55,0.0,0.0,0.0,,1356.45,86.9,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY01-FEB-2024CE20100,,0.0,0.0,0.0,,1419.5,,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY18-JAN-2024PE20100,10.7,0.0,0.0,0.0,,6.95,3.75,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY18-JAN-2024PE20850,101.15,91.0,99.3,91.0,97.5,77.75,23.4,32.0,1800.0,36.0,21349.4,37699355.0,169355.0
OPTIDXNIFTY18-JAN-2024CE20850,613.85,0.0,0.0,0.0,,681.0,67.15,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY11-JAN-2024PE20850,78.15,85.55,96.55,70.0,74.45,74.45,3.7,195.0,22000.0,440.0,21349.4,460384627.5,1684627.5
OPTIDXNIFTY29-FEB-2024CE19400,2116.05,0.0,0.0,0.0,,2204.25,88.2,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY25-JAN-2024CE17400,3967.3,0.0,0.0,0.0,,4058.45,91.15,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY28-DEC-2023PE17400,1.35,1.35,1.8,0.65,0.9,0.9,0.45,2350.0,544550.0,10891.0,21349.4,9475776160.0,606160.0
OPTIDXNIFTY29-FEB-2024CE21400,610.3,592.0,684.0,585.0,650.35,650.35,40.05,369.0,9600.0,192.0,21349.4,211579085.0,6139085.0
OPTIDXNIFTY01-FEB-2024CE21400,,0.0,0.0,0.0,,410.75,,0.0,0.0,0.0,21349.4,0.0,0.0
OPTIDXNIFTY29-FEB-2024PE21400,376.05,381.05,398.5,339.0,352.75,352.75,23.3,772.0,24400.0,488.0,21349.4,531011970.0,8851970.0
OPTIDXNIFTY01-FEB-2024PE21400,,0.0,0.0,0.0,,299.7,,0.0,0.0,0.0,21349.4,0.0,0.0
