CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY08-FEB-2024CE21100,565.55,530.75,728.9,530.75,713.5,713.5,147.95,1743.0,107000.0,2140.0,21725.7,2325801632.5,68101632.5
OPTIDXNIFTY22-FEB-2024CE21100,598.15,0.0,0.0,0.0,,759.0,160.85,0.0,0.0,0.0,21725.7,0.0,0.0
OPTIDXNIFTY15-FEB-2024PE21100,135.3,143.35,155.15,91.8,98.4,98.4,36.9,533.0,51850.0,1037.0,21725.7,1099900497.5,5865497.5
OPTIDXNIFTY28-MAR-2024PE21100,256.8,265.25,272.45,209.65,217.3,217.3,39.5,1170.0,30100.0,602.0,21725.7,641946770.0,6836770.0
OPTIDXNIFTY01-FEB-2024PE21100,27.55,30.0,40.55,7.5,9.5,9.5,18.05,46495.0,33156000.0,663120.0,21725.7,700095100520.0,503500520.0
OPTIDXNIFTY22-FEB-2024PE21100,160.6,167.75,181.0,115.0,119.95,119.95,40.65,322.0,17500.0,350.0,21725.7,371523490.0,2273490.0
OPTIDXNIFTY15-FEB-2024PE22350,787.1,0.0,0.0,0.0,,609.25,177.85,0.0,0.0,0.0,21725.7,0.0,0.0
OPTIDXNIFTY15-FEB-2024CE21950,162.55,162.0,230.15,152.05,221.45,221.45,58.9,187.0,14800.0,296.0,21725.7,327861787.5,3001787.5
OPTIDXNIFTY25-APR-2024PE21950,567.6,0.0,0.0,0.0,,468.9,98.7,0.0,0.0,0.0,21725.7,0.0,0.0
OPTIDXNIFTY01-FEB-2024CE22350,4.5,4.15,12.1,2.75,8.65,8.65,4.15,42954.0,35595100.0,711902.0,21725.7,795762570987.5,212085987.5
OPTIDXNIFTY08-FEB-2024PE21950,482.85,505.2,523.75,337.0,354.3,354.3,128.55,587.0,43300.0,866.0,21725.7,966928437.5,16493437.5
OPTIDXNIFTY28-MAR-2024PE22350,793.4,0.0,0.0,0.0,,658.1,135.3,26.0,0.0,0.0,21725.7,0.0,0.0
OPTIDXNIFTY08-FEB-2024CE22350,36.9,32.85,56.2,28.9,54.3,54.3,17.4,2288.0,615750.0,12315.0,21725.7,13790261835.0,28249335.0
OPTIDXNIFTY29-FEB-2024CE22350,117.0,116.35,166.3,105.95,158.95,158.95,41.95,840.0,105800.0,2116.0,21725.7,2379995000.0,15365000.0
OPTIDXNIFTY15-FEB-2024CE22350,68.45,69.0,101.0,62.1,97.7,97.7,29.25,117.0,10300.0,206.0,21725.7,231096587.5,891587.5
OPTIDXNIFTY25-APR-2024CE21950,486.05,0.0,0.0,0.0,,586.95,100.9,0.0,0.0,0.0,21725.7,0.0,0.0
OPTIDXNIFTY01-FEB-2024CE21950,25.7,25.0,61.0,16.9,52.55,52.55,26.85,55513.0,46801000.0,936020.0,21725.7,1029198238190.0,1916288190.0
OPTIDXNIFTY28-MAR-2024PE21950,591.45,560.0,560.0,504.0,504.0,504.0,87.45,43.0,350.0,7.0,21725.7,7864850.0,182350.0
OPTIDXNIFTY29-FEB-2024PE21950,553.0,574.9,584.85,429.55,443.45,443.45,109.55,324.0,36350.0,727.0,21725.7,815283167.5,17400667.5
OPTIDXNIFTY29-FEB-2024CE21950,237.45,227.45,320.35,220.75,305.7,305.7,68.25,966.0,241500.0,4830.0,21725.7,5370243387.5,69318387.5
OPTIDXNIFTY28-MAR-2024CE21950,425.55,383.75,517.15,383.75,502.6,502.6,77.05,62.0,2300.0,46.0,21725.7,51598470.0,1113470.0
