CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY30-MAY-2024CE23000,95.55,110.0,144.0,97.55,130.65,130.65,35.1,39262.0,2795900.0,55918.0,22336.4,64627858407.5,322158407.5
OPTIDXNIFTY30-MAY-2024PE23550,1286.55,0.0,0.0,0.0,,1128.95,157.6,36.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY27-MAR-2025CE23000,1574.35,0.0,0.0,0.0,,1682.0,107.65,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY25-APR-2024CE23000,1.75,1.85,2.85,1.4,1.5,1.5,0.25,215703.0,32966250.0,659325.0,22336.4,758280470052.5,56720052.5
OPTIDXNIFTY31-DEC-2026PE23000,1030.0,950.0,1020.0,950.0,965.05,687.6,342.4,152.0,350.0,7.0,22336.4,8389005.0,339005.0
OPTIDXNIFTY02-MAY-2024CE23550,2.55,2.65,4.7,2.2,2.45,2.45,0.1,285.0,31450.0,629.0,22336.4,740729187.5,81687.5
OPTIDXNIFTY28-DEC-2028CE23000,6325.2,0.0,0.0,0.0,,6488.7,163.5,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY16-MAY-2024PE23550,1311.35,0.0,0.0,0.0,,1143.15,168.2,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE23000,616.05,0.0,0.0,0.0,,585.75,30.3,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY25-APR-2024PE23000,872.85,787.75,813.0,603.0,643.7,643.7,229.15,16663.0,350250.0,7005.0,22336.4,8310686967.5,254936967.5
OPTIDXNIFTY26-JUN-2025CE23000,1942.45,0.0,0.0,0.0,,2057.95,115.5,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY23-MAY-2024CE23000,81.35,99.45,120.05,80.0,104.05,104.05,22.7,230.0,37400.0,748.0,22336.4,863738687.5,3538687.5
OPTIDXNIFTY26-DEC-2024CE23000,1059.95,1074.0,1160.7,1070.0,1142.35,1142.35,82.4,4851.0,21650.0,433.0,22336.4,521968957.5,24018957.5
OPTIDXNIFTY26-DEC-2024PE23000,798.05,755.0,768.0,670.5,699.2,699.2,98.85,8758.0,49850.0,997.0,22336.4,1183051907.5,36501907.5
OPTIDXNIFTY02-MAY-2024CE23000,10.4,13.5,19.9,11.05,14.2,14.2,3.8,14196.0,2472600.0,49452.0,22336.4,56901825307.5,32025307.5
OPTIDXNIFTY09-MAY-2024PE23550,1326.4,0.0,0.0,0.0,,1153.4,173.0,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY09-MAY-2024PE23000,827.4,730.0,730.0,566.5,581.5,581.5,245.9,35.0,1100.0,22.0,22336.4,25973925.0,673925.0
OPTIDXNIFTY16-MAY-2024CE23550,30.5,0.0,0.0,0.0,,38.3,7.8,0.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE15000,0.1,0.0,0.0,0.0,,0.05,0.05,574.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE15000,12.9,0.0,0.0,0.0,,11.8,1.1,7.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY26-JUN-2025PE15000,0.95,0.0,0.0,0.0,,0.8,0.15,36.0,0.0,0.0,22336.4,0.0,0.0
OPTIDXNIFTY23-MAY-2024CE22300,387.7,336.45,433.9,336.45,421.25,421.25,33.55,52.0,3750.0,75.0,22336.4,85048750.0,1423750.0
OPTIDXNIFTY16-MAY-2024CE22300,288.35,332.6,402.7,300.0,387.35,387.35,99.0,139.0,19150.0,383.0,22336.4,433634242.5,6589242.5
OPTIDXNIFTY30-MAY-2024CE22300,360.25,398.5,487.5,377.15,458.6,458.6,98.35,8236.0,846300.0,16926.0,22336.4,19226816792.5,354326792.5
OPTIDXNIFTY27-JUN-2024PE22450,551.85,531.45,531.55,477.4,477.4,477.4,74.45,52.0,1400.0,28.0,22336.4,32130167.5,700167.5
OPTIDXNIFTY09-MAY-2024CE22300,226.55,293.15,346.9,245.0,320.9,320.9,94.35,1466.0,310350.0,6207.0,22336.4,7008964157.5,88159157.5
OPTIDXNIFTY27-JUN-2024CE22300,616.1,700.0,742.45,637.8,706.75,706.75,90.65,769.0,58300.0,1166.0,22336.4,1339889417.5,39799417.5
