CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY26-SEP-2024CE22400,2569.85,0.0,0.0,0.0,,2588.05,18.2,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY08-AUG-2024CE25150,238.45,0.0,0.0,0.0,,236.9,1.55,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY14-AUG-2024CE25150,295.05,0.0,0.0,0.0,,294.6,0.45,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY25-JUL-2024CE25150,50.45,51.7,65.55,49.45,53.6,53.6,3.15,8543.0,442600.0,17704.0,24613.0,11156459766.25,25069766.25
OPTIDXNIFTY26-SEP-2024CE25150,641.75,0.0,0.0,0.0,,645.25,3.5,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY18-JUL-2024CE25150,1.2,0.8,1.2,0.4,0.45,0.45,0.75,52464.0,5313875.0,212555.0,24613.0,133648010240.0,4053990.0
OPTIDXNIFTY01-AUG-2024CE22400,2261.65,0.0,0.0,0.0,,2283.3,21.65,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY25-JUL-2024PE22400,5.0,4.3,5.15,2.55,3.0,3.0,2.0,6282.0,153225.0,6129.0,24613.0,3432813066.25,573066.25
OPTIDXNIFTY28-JUN-2029CE29000,5943.75,0.0,0.0,0.0,,5953.75,10.0,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY27-MAR-2025PE29000,3399.1,0.0,0.0,0.0,,3378.8,20.3,0.0,0.0,0.0,24613.0,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE29000,2001.45,0.0,0.0,0.0,,1987.05,14.4,0.0,0.0,0.0,24613.0,0.0,0.0
