CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY28-NOV-2024CE27850,0.15,0.0,0.0,0.0,,0.2,0.05,68.0,0.0,0.0,24466.85,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE27850,5.65,21.85,21.85,18.6,18.6,6.85,1.2,52.0,75.0,3.0,24466.85,2090226.25,1476.25
OPTIDXNIFTY31-OCT-2024CE27850,1.0,1.45,1.95,0.65,1.3,1.3,0.3,48251.0,2120825.0,84833.0,24466.85,59067237081.25,2260831.25
OPTIDXNIFTY26-DEC-2024PE27850,3214.3,0.0,0.0,0.0,,3092.9,121.4,0.0,0.0,0.0,24466.85,0.0,0.0
OPTIDXNIFTY28-NOV-2024PE27850,3351.8,0.0,0.0,0.0,,3229.25,122.55,0.0,0.0,0.0,24466.85,0.0,0.0
OPTIDXNIFTY28-NOV-2024CE27900,6.05,5.9,7.7,4.85,5.6,5.6,0.45,717.0,5100.0,204.0,24466.85,142318645.0,28645.0
OPTIDXNIFTY31-OCT-2024PE25450,1094.8,1080.0,1239.85,953.25,975.5,975.5,119.3,815.0,2400.0,96.0,24466.85,63715381.25,2635381.25
OPTIDXNIFTY31-OCT-2024CE25050,2.7,2.75,3.05,1.6,2.05,2.05,0.65,40002.0,8342850.0,333714.0,24466.85,209005190858.75,16798358.75
OPTIDXNIFTY26-DEC-2024PE25050,782.4,0.0,0.0,0.0,,703.35,79.05,110.0,0.0,0.0,24466.85,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE27900,5.15,12.0,17.0,12.0,17.0,6.25,1.1,145.0,50.0,2.0,24466.85,1395725.0,725.0
OPTIDXNIFTY31-OCT-2024CE27900,0.95,0.85,1.7,0.55,1.0,1.0,0.05,107131.0,5702925.0,228117.0,24466.85,159116987388.75,5379888.75
OPTIDXNIFTY05-DEC-2024PE25450,1050.15,0.0,0.0,0.0,,949.15,101.0,0.0,0.0,0.0,24466.85,0.0,0.0
OPTIDXNIFTY31-OCT-2024PE25050,686.8,681.95,887.65,564.2,583.6,583.6,103.2,3205.0,7475.0,299.0,24466.85,192860971.25,5612221.25
OPTIDXNIFTY28-NOV-2024CE25050,142.3,142.35,193.25,110.65,189.3,189.3,47.0,1228.0,48350.0,1934.0,24466.85,1219037695.0,7870195.0
OPTIDXNIFTY26-DEC-2024PE27900,3263.2,0.0,0.0,0.0,,3141.75,121.45,0.0,0.0,0.0,24466.85,0.0,0.0
OPTIDXNIFTY21-NOV-2024CE25450,53.1,0.0,0.0,0.0,,66.2,13.1,0.0,0.0,0.0,24466.85,0.0,0.0
