CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY14-NOV-2024PE23150,24.9,0.0,0.0,0.0,,6.65,18.25,93.0,0.0,0.0,24340.85,0.0,0.0
OPTIDXNIFTY07-NOV-2024CE23150,1355.9,0.0,0.0,0.0,,1225.8,130.1,0.0,0.0,0.0,24340.85,0.0,0.0
OPTIDXNIFTY21-NOV-2024CE23150,1428.1,0.0,0.0,0.0,,1301.75,126.35,0.0,0.0,0.0,24340.85,0.0,0.0
OPTIDXNIFTY14-NOV-2024CE24700,205.5,170.65,244.4,165.55,177.95,177.95,27.55,4133.0,165450.0,6618.0,24340.85,4119552368.75,32937368.75
OPTIDXNIFTY07-NOV-2024CE24700,132.95,106.4,165.15,94.65,104.2,104.2,28.75,29297.0,3441125.0,137645.0,24340.85,85423831523.75,428044023.75
OPTIDXNIFTY21-NOV-2024PE24700,400.9,452.3,452.3,425.5,438.9,438.9,38.0,4.0,100.0,4.0,24340.85,2513890.0,43890.0
OPTIDXNIFTY07-NOV-2024PE24700,311.5,333.85,417.3,295.95,380.2,380.2,68.7,5385.0,286325.0,11453.0,24340.85,7175056977.5,102829477.5
OPTIDXNIFTY26-DEC-2024PE24700,508.5,545.0,576.25,493.55,568.95,568.95,60.45,1997.0,2175.0,87.0,24340.85,54908057.5,1185557.5
OPTIDXNIFTY21-NOV-2024PE23150,13.0,0.0,0.0,0.0,,16.9,3.9,0.0,0.0,0.0,24340.85,0.0,0.0
OPTIDXNIFTY31-OCT-2024PE23150,2.6,2.6,2.75,0.6,0.8,0.8,1.8,10179.0,1477175.0,59087.0,24340.85,34198270832.5,1669582.5
OPTIDXNIFTY07-NOV-2024PE23150,10.5,11.5,13.8,8.8,9.95,9.95,0.55,2903.0,156350.0,6254.0,24340.85,3621133080.0,1630580.0
OPTIDXNIFTY21-NOV-2024CE24700,273.5,265.0,285.0,239.05,242.25,242.25,31.25,51.0,1800.0,72.0,24340.85,44935528.75,475528.75
OPTIDXNIFTY14-NOV-2024PE24700,363.2,402.55,449.0,350.25,427.6,427.6,64.4,1765.0,79025.0,3161.0,24340.85,1982779361.25,30861861.25
