CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY01-AUG-2024PE23400,302.7,210.0,221.2,199.5,205.2,250.25,52.45,49.0,225.0,9.0,23868.8,5311370.0,46370.0
OPTIDXNIFTY29-AUG-2024PE24700,1074.4,0.0,0.0,0.0,,979.95,94.45,2.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY11-JUL-2024PE24700,969.4,0.0,0.0,0.0,,844.0,125.4,3.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY27-JUN-2024CE20650,3079.35,0.0,0.0,0.0,,3222.85,143.5,141.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY04-JUL-2024CE20650,3107.5,0.0,0.0,0.0,,3250.95,143.45,9.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY25-JUL-2024PE23400,209.85,208.95,220.5,159.1,161.5,161.5,48.35,19910.0,519650.0,20786.0,23868.8,12254263643.75,94453643.75
OPTIDXNIFTY11-JUL-2024PE23400,123.5,123.5,130.55,82.2,84.7,84.7,38.8,3899.0,241150.0,9646.0,23868.8,5667443820.0,24533820.0
OPTIDXNIFTY04-JUL-2024CE23400,443.65,434.65,573.65,393.65,545.95,545.95,102.3,10945.0,441075.0,17643.0,23868.8,10531229552.5,210074552.5
OPTIDXNIFTY27-JUN-2024PE23400,24.7,19.95,25.05,3.1,3.75,3.75,20.95,317673.0,50874725.0,2034989.0,23868.8,1190990435501.25,521870501.25
OPTIDXNIFTY29-AUG-2024CE24700,205.8,205.0,250.0,193.65,241.65,241.65,35.85,1156.0,11000.0,440.0,23868.8,274175216.25,2475216.25
OPTIDXNIFTY27-JUN-2024PE24700,964.35,972.95,993.6,809.4,844.05,844.05,120.3,119.0,1050.0,42.0,23868.8,26842411.25,907411.25
OPTIDXNIFTY04-JUL-2024PE24150,443.8,450.0,458.3,308.5,324.45,324.45,119.35,413.0,19275.0,771.0,23868.8,471954031.25,6462781.25
OPTIDXNIFTY25-JUL-2024CE24150,219.55,215.95,281.7,200.45,266.95,266.95,47.4,854.0,56200.0,2248.0,23868.8,1371298086.25,14068086.25
OPTIDXNIFTY29-AUG-2024PE24150,747.55,0.0,0.0,0.0,,670.35,77.2,0.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY04-JUL-2024CE24150,48.05,49.25,86.35,39.45,76.9,76.9,28.85,7168.0,1452575.0,58103.0,23868.8,35177463118.75,97776868.75
OPTIDXNIFTY27-JUN-2024CE24150,4.25,4.3,10.5,2.05,5.65,5.65,1.4,174720.0,68986775.0,2759471.0,23868.8,1666456175012.5,425558762.5
OPTIDXNIFTY29-AUG-2024CE24150,424.15,0.0,0.0,0.0,,697.15,273.0,5.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE15000,0.05,14.85,14.85,13.3,13.8,13.8,13.75,1050.0,350.0,14.0,23868.8,5254921.25,4921.25
OPTIDXNIFTY30-DEC-2027PE15000,24.55,0.0,0.0,0.0,,22.95,1.6,14.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY26-JUN-2025PE15000,0.9,0.0,0.0,0.0,,0.75,0.15,68.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY31-DEC-2026PE15000,14.55,0.0,0.0,0.0,,13.4,1.15,86.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY18-JUL-2024PE24950,1194.0,0.0,0.0,0.0,,1068.65,125.35,0.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY29-AUG-2024CE24950,337.2,0.0,0.0,0.0,,379.05,41.85,5.0,0.0,0.0,23868.8,0.0,0.0
OPTIDXNIFTY27-JUN-2024PE20000,1.5,0.4,1.0,0.3,0.35,0.35,1.15,210460.0,5233175.0,209327.0,23868.8,104666506037.5,3006037.5
