CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY29-AUG-2024CE22250,2882.7,0.0,0.0,0.0,,2586.4,296.3,10.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY26-SEP-2024CE22250,3021.7,0.0,0.0,0.0,,2731.6,290.1,8.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY29-AUG-2024CE24550,631.1,506.95,523.6,424.7,439.1,439.1,192.0,1188.0,22500.0,900.0,24717.7,563123336.25,10748336.25
OPTIDXNIFTY14-AUG-2024PE23550,8.3,8.55,22.35,8.55,17.45,17.45,9.15,373.0,17575.0,703.0,24717.7,414153582.5,262332.5
OPTIDXNIFTY27-MAR-2025CE23000,3345.75,0.0,0.0,0.0,,3095.45,250.3,1.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY05-SEP-2024PE24550,,249.8,249.8,224.85,224.85,346.05,,1.0,50.0,2.0,24717.7,1239366.25,11866.25
OPTIDXNIFTY31-DEC-2026PE23000,650.0,0.0,0.0,0.0,,500.7,149.3,509.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY14-AUG-2024PE23000,4.55,4.65,9.9,4.1,6.35,6.35,1.8,7737.0,584425.0,23377.0,24717.7,13444889152.5,3114152.5
OPTIDXNIFTY14-AUG-2024CE24550,516.65,433.05,433.05,280.0,302.85,302.85,213.8,358.0,24500.0,980.0,24717.7,609943723.75,8468723.75
OPTIDXNIFTY31-OCT-2024PE24550,435.6,0.0,0.0,0.0,,534.6,99.0,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY28-DEC-2028CE23000,8750.45,0.0,0.0,0.0,,8484.8,265.65,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE23000,451.45,0.0,0.0,0.0,,487.6,36.15,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY05-SEP-2024CE24550,,0.0,0.0,0.0,,679.65,,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE23000,17.05,23.05,38.0,19.55,34.5,34.5,17.45,104426.0,2275750.0,91030.0,24717.7,52404504183.75,62254183.75
OPTIDXNIFTY26-SEP-2024PE23550,106.9,105.0,105.0,105.0,105.0,148.7,41.8,33.0,75.0,3.0,24717.7,1774125.0,7875.0
OPTIDXNIFTY05-SEP-2024CE23550,,0.0,0.0,0.0,,1411.95,,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE23550,32.4,49.95,77.15,45.95,69.2,69.2,36.8,839.0,9900.0,396.0,24717.7,233730657.5,585657.5
OPTIDXNIFTY26-JUN-2025CE23000,3803.45,0.0,0.0,0.0,,3554.75,248.7,2.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE23000,2592.95,2460.0,2486.1,2340.0,2354.85,2354.85,238.1,20003.0,19575.0,783.0,24717.7,497581143.75,47356143.75
OPTIDXNIFTY22-AUG-2024CE24550,733.6,384.5,453.4,373.45,384.6,384.6,349.0,31.0,1125.0,45.0,24717.7,28084623.75,465873.75
OPTIDXNIFTY26-DEC-2024PE23000,184.15,210.05,231.45,194.1,228.05,228.05,43.9,78252.0,184300.0,7372.0,24717.7,4278148290.0,39248290.0
OPTIDXNIFTY22-AUG-2024PE23000,10.35,12.0,19.4,11.55,17.45,17.45,7.1,1311.0,42050.0,1682.0,24717.7,967779772.5,629772.5
OPTIDXNIFTY29-AUG-2024CE25550,109.45,70.0,79.45,55.95,58.5,58.5,50.95,3875.0,194550.0,7782.0,24717.7,4983530752.5,12778252.5
OPTIDXNIFTY26-SEP-2024PE25550,784.4,0.0,0.0,0.0,,955.3,170.9,7.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY05-SEP-2024PE25550,,0.0,0.0,0.0,,901.85,,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY14-AUG-2024CE25550,35.2,25.0,25.0,13.45,14.5,14.5,20.7,1154.0,190450.0,7618.0,24717.7,4869294545.0,3297045.0
OPTIDXNIFTY22-AUG-2024CE25550,218.35,0.0,0.0,0.0,,126.75,91.6,153.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY14-AUG-2024PE25500,532.9,700.0,871.25,676.0,832.35,832.35,299.45,851.0,102725.0,4109.0,24717.7,2696491628.75,77004128.75
OPTIDXNIFTY08-AUG-2024PE25500,522.4,700.0,873.35,670.7,824.45,824.45,302.05,7397.0,311400.0,12456.0,24717.7,8171861491.25,231161491.25
OPTIDXNIFTY31-OCT-2024CE25500,485.0,400.95,428.45,310.0,384.05,384.05,100.95,2214.0,47200.0,1888.0,24717.7,1222103225.0,18503225.0
OPTIDXNIFTY22-AUG-2024CE25500,84.15,58.6,59.9,36.45,39.3,39.3,44.85,2630.0,103150.0,4126.0,24717.7,2635055385.0,4730385.0
OPTIDXNIFTY29-AUG-2024CE25500,124.3,89.0,90.95,63.0,68.0,68.0,56.3,99884.0,3807575.0,152303.0,24717.7,97386250483.75,293087983.75
OPTIDXNIFTY29-AUG-2024PE21750,0.25,4.4,9.95,4.4,9.95,9.95,9.7,64.0,675.0,27.0,24717.7,14685792.5,4542.5
OPTIDXNIFTY26-SEP-2024PE23150,61.2,0.0,0.0,0.0,,87.9,26.7,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY14-AUG-2024CE23150,1920.45,0.0,0.0,0.0,,1624.5,295.95,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY29-AUG-2024CE23150,2001.75,1742.6,1742.6,1742.6,1742.6,1715.5,286.25,82.0,25.0,1.0,24717.7,622315.0,43565.0
OPTIDXNIFTY08-AUG-2024PE23150,1.9,5.0,5.0,1.9,3.4,3.4,1.5,3661.0,659100.0,26364.0,24717.7,15260011332.5,1846332.5
OPTIDXNIFTY08-AUG-2024CE23150,1892.35,0.0,0.0,0.0,,1594.75,297.6,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY28-JUN-2029CE29000,6169.3,0.0,0.0,0.0,,5946.7,222.6,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY27-MAR-2025PE29000,3102.1,0.0,0.0,0.0,,3332.05,229.95,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE29000,1846.55,0.0,0.0,0.0,,1948.45,101.9,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY24-DEC-2025CE29000,1454.65,810.0,810.0,715.0,716.0,1328.7,125.95,10.0,225.0,9.0,24717.7,6691225.0,166225.0
OPTIDXNIFTY28-DEC-2028PE29000,1565.6,0.0,0.0,0.0,,1647.1,81.5,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE23350,25.3,33.0,58.4,32.0,53.55,53.55,28.25,636.0,5125.0,205.0,24717.7,119884352.5,215602.5
OPTIDXNIFTY26-SEP-2024PE23350,81.5,0.0,0.0,0.0,,115.2,33.7,83.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY08-AUG-2024PE23350,2.25,7.3,7.3,2.4,4.15,4.15,1.9,12042.0,1630175.0,65207.0,24717.7,38070222907.5,5636657.5
OPTIDXNIFTY31-OCT-2024CE23350,2229.85,0.0,0.0,0.0,,1976.35,253.5,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY28-JUN-2029PE26000,820.7,0.0,0.0,0.0,,870.8,50.1,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY25-JUN-2026CE26000,3544.6,0.0,0.0,0.0,,3339.9,204.7,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY25-JUN-2026PE26000,1177.25,0.0,0.0,0.0,,1270.3,93.05,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY31-OCT-2024PE26000,995.65,1104.0,1240.0,1100.0,1237.7,1237.7,242.05,653.0,7000.0,280.0,24717.7,189981813.75,7981813.75
OPTIDXNIFTY14-AUG-2024CE26000,6.5,6.9,6.9,4.2,4.9,4.9,1.6,11164.0,594325.0,23773.0,24717.7,15455353862.5,2903862.5
OPTIDXNIFTY24-JUN-2027CE26000,5015.95,0.0,0.0,0.0,,4792.1,223.85,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY27-MAR-2025PE26000,1062.15,1125.0,1220.0,1105.6,1206.75,1206.75,144.6,985.0,4275.0,171.0,24717.7,116163757.5,5013757.5
OPTIDXNIFTY08-AUG-2024CE26000,1.95,1.8,2.4,1.6,2.0,2.0,0.05,359917.0,35184775.0,1407391.0,24717.7,914872094072.5,67944072.5
OPTIDXNIFTY31-DEC-2026PE26000,1119.8,0.0,0.0,0.0,,1201.8,82.0,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY28-DEC-2028CE26000,7030.6,0.0,0.0,0.0,,6787.75,242.85,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE26000,993.2,1150.0,1339.7,1129.7,1301.85,1301.85,308.65,31580.0,87250.0,3490.0,24717.7,2374644896.25,106144896.25
OPTIDXNIFTY30-DEC-2027PE26000,998.95,0.0,0.0,0.0,,1064.85,65.9,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY31-DEC-2026CE26000,4324.85,0.0,0.0,0.0,,4109.3,215.55,0.0,0.0,0.0,24717.7,0.0,0.0
OPTIDXNIFTY05-SEP-2024CE26000,,100.0,100.0,31.0,36.85,36.85,,135.0,4775.0,191.0,24717.7,124349930.0,199930.0
OPTIDXNIFTY27-MAR-2025CE26000,931.65,885.4,968.95,830.0,836.35,836.35,95.3,766.0,3075.0,123.0,24717.7,82585227.5,2635227.5
OPTIDXNIFTY26-DEC-2024PE26000,1019.1,1110.0,1235.0,1085.05,1207.7,1207.7,188.6,16583.0,63925.0,2557.0,24717.7,1735775047.5,73725047.5
OPTIDXNIFTY05-SEP-2024PE26000,,0.0,0.0,0.0,,1243.15,,0.0,0.0,0.0,24717.7,0.0,0.0
