CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY14-MAR-2024CE23400,3.6,3.7,3.7,2.1,2.35,2.35,1.25,6288.0,817300.0,16346.0,22356.3,19127180575.0,2360575.0
OPTIDXNIFTY21-MAR-2024PE23400,938.25,0.0,0.0,0.0,,986.55,48.3,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE23400,290.5,0.0,0.0,0.0,,269.1,21.4,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY07-MAR-2024PE23400,981.45,1030.0,1151.65,982.35,982.35,1035.05,53.6,22.0,1000.0,20.0,22356.3,24434122.5,1034122.5
OPTIDXNIFTY14-MAR-2024PE23400,954.75,0.0,0.0,0.0,,1006.55,51.8,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY28-MAR-2024PE23400,924.6,963.5,1031.0,921.0,975.75,975.75,51.15,35.0,500.0,10.0,22356.3,12185592.5,485592.5
OPTIDXNIFTY07-MAR-2024CE23400,1.0,1.0,1.0,0.5,0.55,0.55,0.45,19030.0,5612400.0,112248.0,22356.3,131334411932.5,4251932.5
OPTIDXNIFTY27-JUN-2024CE26000,68.6,69.05,69.05,61.05,63.1,63.1,5.5,3175.0,20450.0,409.0,22356.3,532997042.5,1297042.5
OPTIDXNIFTY25-APR-2024CE19650,2944.0,0.0,0.0,0.0,,2891.1,52.9,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY25-JUN-2026CE26000,1747.9,0.0,0.0,0.0,,1714.05,33.85,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY25-JUN-2026PE26000,1589.15,0.0,0.0,0.0,,1608.7,19.55,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY24-JUN-2027CE26000,2837.4,0.0,0.0,0.0,,2797.2,40.2,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY28-MAR-2024CE19650,2840.0,0.0,0.0,0.0,,2789.7,50.3,16.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY31-DEC-2026PE26000,1388.15,0.0,0.0,0.0,,1403.9,15.75,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY28-DEC-2028CE26000,4484.5,0.0,0.0,0.0,,4438.85,45.65,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE26000,1083.9,0.0,0.0,0.0,,1094.45,10.55,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY28-MAR-2024PE26000,3471.05,3520.0,3605.0,3510.0,3530.6,3530.6,59.55,499.0,600.0,12.0,22356.3,17732360.0,2132360.0
OPTIDXNIFTY31-DEC-2026CE26000,2311.1,0.0,0.0,0.0,,2273.55,37.55,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE26000,2495.3,2575.0,2575.0,2575.0,2575.0,2535.05,39.75,56.0,50.0,1.0,22356.3,1428750.0,128750.0
OPTIDXNIFTY25-APR-2024PE19650,0.35,0.0,0.0,0.0,,0.35,0.0,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY28-MAR-2024PE19650,0.05,0.0,0.0,0.0,,0.05,0.0,28.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY26-JUN-2025PE26000,2112.5,0.0,0.0,0.0,,2143.3,30.8,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY24-DEC-2025CE26000,1216.95,0.0,0.0,0.0,,1187.8,29.15,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY25-APR-2024PE21950,160.25,225.6,252.45,215.95,216.6,216.6,56.35,43.0,550.0,11.0,22356.3,12201272.5,128772.5
OPTIDXNIFTY07-MAR-2024CE21950,468.0,427.0,480.0,321.45,412.3,412.3,55.7,3741.0,123350.0,2467.0,22356.3,2755671135.0,48138635.0
OPTIDXNIFTY07-MAR-2024CE22350,150.2,140.0,144.9,60.35,96.0,96.0,54.2,46481.0,108081500.0,2161630.0,22356.3,2426301854360.0,10680329360.0
OPTIDXNIFTY14-MAR-2024CE21950,544.75,504.1,519.0,405.6,470.75,470.75,74.0,303.0,3550.0,71.0,22356.3,79568757.5,1646257.5
OPTIDXNIFTY28-MAR-2024PE22350,251.05,251.05,304.4,229.7,255.85,255.85,4.8,2045.0,376650.0,7533.0,22356.3,8518566140.0,100438640.0
OPTIDXNIFTY04-APR-2024PE21950,107.75,158.25,169.3,139.2,139.35,115.75,8.0,12.0,950.0,19.0,22356.3,21000485.0,147985.0
OPTIDXNIFTY04-APR-2024PE22350,276.15,244.35,258.75,244.35,258.75,253.05,23.1,2166.0,100.0,2.0,22356.3,2260155.0,25155.0
OPTIDXNIFTY04-APR-2024CE22350,420.0,432.65,463.9,390.55,418.35,418.35,1.65,2217.0,2250.0,45.0,22356.3,51284745.0,997245.0
OPTIDXNIFTY25-APR-2024CE21950,825.9,866.05,866.05,844.1,844.1,782.4,43.5,15.0,250.0,5.0,22356.3,5701107.5,213607.5
OPTIDXNIFTY30-MAY-2024PE21950,220.45,0.0,0.0,0.0,,231.2,10.75,0.0,0.0,0.0,22356.3,0.0,0.0
OPTIDXNIFTY28-MAR-2024PE21950,129.85,140.0,156.05,114.3,126.55,126.55,3.3,1901.0,80000.0,1600.0,22356.3,1766927080.0,10927080.0
OPTIDXNIFTY07-MAR-2024PE22350,104.55,113.35,165.35,73.6,93.35,93.35,11.2,39290.0,98462900.0,1969258.0,22356.3,2211578476485.0,10932661485.0
OPTIDXNIFTY14-MAR-2024PE22350,166.95,183.25,217.35,138.0,159.3,159.3,7.65,3610.0,1728550.0,34571.0,22356.3,38932497387.5,299404887.5
