CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY18-APR-2024PE20250,0.6,0.0,0.0,0.0,,0.4,0.2,0.0,0.0,0.0,22004.7,0.0,0.0
OPTIDXNIFTY04-APR-2024PE20050,0.05,0.0,0.0,0.0,,0.05,0.0,0.0,0.0,0.0,22004.7,0.0,0.0
OPTIDXNIFTY04-APR-2024PE22450,287.55,333.95,350.0,289.75,324.4,324.4,36.85,3214.0,88700.0,1774.0,22004.7,2019205872.5,27890872.5
OPTIDXNIFTY25-APR-2024PE21350,59.0,63.95,71.55,56.0,61.9,61.9,2.9,840.0,35650.0,713.0,22004.7,763283700.0,2156200.0
OPTIDXNIFTY18-APR-2024PE21050,16.35,0.0,0.0,0.0,,15.9,0.45,1.0,0.0,0.0,22004.7,0.0,0.0
OPTIDXNIFTY18-APR-2024CE21850,502.85,0.0,0.0,0.0,,409.55,93.3,1.0,0.0,0.0,22004.7,0.0,0.0
OPTIDXNIFTY04-APR-2024CE24000,1.75,1.75,2.0,1.3,1.45,1.45,0.3,1250.0,73450.0,1469.0,22004.7,1762909780.0,109780.0
OPTIDXNIFTY10-APR-2024PE23950,1769.8,0.0,0.0,0.0,,1879.05,109.25,0.0,0.0,0.0,22004.7,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE23000,246.4,238.0,298.0,191.15,216.25,216.25,30.15,5719.0,177050.0,3541.0,22004.7,4111645345.0,39495345.0
OPTIDXNIFTY04-APR-2024CE22150,243.2,235.0,235.0,165.65,184.05,184.05,59.15,7491.0,654150.0,13083.0,22004.7,14617848705.0,128426205.0
OPTIDXNIFTY18-APR-2024CE20700,1504.3,0.0,0.0,0.0,,1396.45,107.85,0.0,0.0,0.0,22004.7,0.0,0.0
OPTIDXNIFTY28-MAR-2024CE21500,675.95,600.0,651.85,568.6,595.75,595.75,80.2,9748.0,349850.0,6997.0,22004.7,7733957702.5,212182702.5
OPTIDXNIFTY10-APR-2024PE21750,72.95,85.0,111.05,68.05,77.45,77.45,4.5,186.0,25700.0,514.0,22004.7,560965600.0,1990600.0
OPTIDXNIFTY25-APR-2024CE21850,645.9,597.05,605.0,570.0,573.7,573.7,72.2,178.0,2850.0,57.0,22004.7,63955285.0,1682785.0
