CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY29-FEB-2024CE21400,778.35,745.05,747.0,648.0,652.7,652.7,125.65,439.0,15000.0,300.0,21517.35,331513322.5,10513322.5
OPTIDXNIFTY28-MAR-2024PE21400,357.35,361.45,386.85,360.75,381.05,381.05,23.7,45.0,3500.0,70.0,21517.35,76209680.0,1309680.0
OPTIDXNIFTY01-FEB-2024CE21400,531.8,507.5,507.8,453.0,459.95,459.95,71.85,34.0,1550.0,31.0,21517.35,33927505.0,757505.0
OPTIDXNIFTY29-FEB-2024PE21400,292.85,307.95,330.0,297.9,321.05,321.05,28.2,1288.0,36800.0,736.0,21517.35,798971505.0,11451505.0
OPTIDXNIFTY01-FEB-2024PE21400,198.15,206.05,236.0,206.05,227.4,227.4,29.25,82.0,4850.0,97.0,21517.35,104845657.5,1055657.5
OPTIDXNIFTY11-JAN-2024PE21400,77.05,85.8,111.9,75.7,103.3,103.3,26.25,21285.0,5337550.0,106751.0,21517.35,114727897507.5,504327507.5
OPTIDXNIFTY18-JAN-2024CE21400,461.85,411.85,419.0,309.95,319.6,319.6,142.25,148.0,18450.0,369.0,21517.35,401195032.5,6365032.5
OPTIDXNIFTY04-JAN-2024CE21400,281.5,232.5,248.4,106.7,126.3,126.3,155.2,22487.0,20850300.0,417006.0,21517.35,449813823212.5,3617403212.5
OPTIDXNIFTY11-JAN-2024CE21400,368.95,332.95,341.45,221.0,233.6,233.6,135.35,4565.0,839050.0,16781.0,21517.35,18180316432.5,224646432.5
OPTIDXNIFTY25-JAN-2024CE21400,521.35,489.95,493.6,381.6,396.85,396.85,124.5,10039.0,216250.0,4325.0,21517.35,4721308640.0,93558640.0
OPTIDXNIFTY28-MAR-2024CE21400,971.0,900.0,900.0,840.95,841.0,841.0,130.0,18.0,400.0,8.0,21517.35,8910415.0,350415.0
OPTIDXNIFTY11-JAN-2024CE22350,13.7,12.25,12.6,3.9,4.65,4.65,9.05,4208.0,773300.0,15466.0,21517.35,17289155025.0,5900025.0
OPTIDXNIFTY25-JAN-2024CE22350,80.65,70.25,71.45,41.1,43.8,43.8,36.85,2502.0,327050.0,6541.0,21517.35,7327196937.5,17629437.5
OPTIDXNIFTY01-FEB-2024CE22350,105.7,95.1,95.1,89.5,89.5,70.25,35.45,15.0,100.0,2.0,21517.35,2244230.0,9230.0
OPTIDXNIFTY28-MAR-2024PE22350,701.6,0.0,0.0,0.0,,791.95,90.35,2.0,0.0,0.0,21517.35,0.0,0.0
OPTIDXNIFTY25-JAN-2024PE21950,394.9,422.35,493.0,418.45,472.2,472.2,77.3,750.0,32750.0,655.0,21517.35,733608307.5,14745807.5
OPTIDXNIFTY11-JAN-2024PE21950,328.7,364.95,461.5,352.85,436.65,436.65,107.95,530.0,14950.0,299.0,21517.35,334138582.5,5986082.5
OPTIDXNIFTY29-FEB-2024CE22350,241.0,259.85,259.85,202.55,213.3,213.3,27.7,46.0,2700.0,54.0,21517.35,60988942.5,643942.5
