CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY25-JUN-2026PE13000,0.05,0.0,0.0,0.0,,0.05,0.0,8.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-NOV-2024PE23650,75.05,80.25,116.0,77.0,112.2,112.2,37.15,2451.0,66750.0,2670.0,24199.35,1585271822.5,6634322.5
OPTIDXNIFTY05-DEC-2024PE23650,69.75,0.0,0.0,0.0,,118.2,48.45,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY05-DEC-2024CE23650,1030.3,0.0,0.0,0.0,,789.7,240.6,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE23650,169.8,185.9,185.9,185.9,185.9,186.2,16.4,98.0,50.0,2.0,24199.35,1191795.0,9295.0
OPTIDXNIFTY26-DEC-2024CE27800,4.15,16.0,17.0,12.2,13.05,13.05,8.9,113.0,3025.0,121.0,24199.35,84138215.0,43215.0
OPTIDXNIFTY21-NOV-2024PE23650,47.4,56.1,72.75,56.05,68.55,68.55,21.15,406.0,11075.0,443.0,24199.35,262682370.0,758620.0
OPTIDXNIFTY21-NOV-2024CE23650,925.85,807.1,807.1,668.25,679.8,679.8,246.05,134.0,3325.0,133.0,24199.35,80928451.25,2292201.25
OPTIDXNIFTY31-DEC-2026PE13000,0.05,0.0,0.0,0.0,,0.05,0.0,6.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY24-DEC-2025PE13000,0.05,0.0,0.0,0.0,,0.05,0.0,9.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY14-NOV-2024CE23650,882.75,835.0,835.0,591.75,600.75,600.75,282.0,371.0,3925.0,157.0,24199.35,95453486.25,2627236.25
OPTIDXNIFTY30-JAN-2025PE23650,197.75,0.0,0.0,0.0,,264.9,67.15,45.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY30-JAN-2025CE23650,1400.65,0.0,0.0,0.0,,1178.8,221.85,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-NOV-2024CE23650,1013.6,874.5,912.95,748.25,754.25,754.25,259.35,563.0,3725.0,149.0,24199.35,91007478.75,2911228.75
OPTIDXNIFTY28-NOV-2024PE27800,3203.1,0.0,0.0,0.0,,3492.9,289.8,1.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY24-DEC-2025CE31000,258.45,225.0,225.0,190.0,198.0,218.5,39.95,138.0,225.0,9.0,24199.35,7020650.0,45650.0
OPTIDXNIFTY28-DEC-2028CE31000,3187.6,0.0,0.0,0.0,,3017.15,170.45,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY30-DEC-2027CE31000,2091.85,0.0,0.0,0.0,,1952.1,139.75,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-JUN-2029CE31000,3745.1,0.0,0.0,0.0,,3562.35,182.75,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY24-JUN-2027PE31000,3021.3,0.0,0.0,0.0,,3191.1,169.8,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY29-JUN-2028CE31000,2634.55,0.0,0.0,0.0,,2478.35,156.2,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY24-DEC-2025PE31000,4494.9,0.0,0.0,0.0,,4744.9,250.0,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-JUN-2025CE31000,43.0,0.0,0.0,0.0,,32.3,10.7,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE31000,5.2,5.5,10.7,4.6,5.75,5.75,0.55,7889.0,242825.0,9713.0,24199.35,7529179647.5,1604647.5
OPTIDXNIFTY25-JUN-2026CE31000,616.1,0.0,0.0,0.0,,545.65,70.45,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY29-JUN-2028PE31000,2386.6,0.0,0.0,0.0,,2519.6,133.0,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY25-JUN-2026PE31000,3896.85,0.0,0.0,0.0,,4116.2,219.35,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-DEC-2028PE31000,2137.5,0.0,0.0,0.0,,2256.1,118.6,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY24-JUN-2027CE31000,1548.05,0.0,0.0,0.0,,1428.35,119.7,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY27-MAR-2025PE31000,5722.8,0.0,0.0,0.0,,6011.3,288.5,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY27-MAR-2025PE20000,53.35,52.2,55.0,50.0,52.6,52.6,0.75,6481.0,27700.0,1108.0,24199.35,555461923.75,1461923.75
OPTIDXNIFTY14-NOV-2024PE24950,478.15,502.05,740.3,499.05,734.95,734.95,256.8,128.0,3425.0,137.0,24199.35,87592158.75,2138408.75
OPTIDXNIFTY14-NOV-2024CE24950,48.25,48.0,48.0,8.75,9.6,9.6,38.65,18665.0,2708575.0,108343.0,24199.35,67620894356.25,41948106.25
OPTIDXNIFTY05-DEC-2024CE24950,232.65,147.6,147.6,131.45,131.45,137.6,95.05,1.0,50.0,2.0,24199.35,1254476.25,6976.25
OPTIDXNIFTY24-JUN-2027CE20000,7813.15,0.0,0.0,0.0,,7536.25,276.9,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE26550,1865.25,0.0,0.0,0.0,,2135.25,270.0,1.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-NOV-2024CE26550,7.75,6.7,8.65,5.55,7.0,7.0,0.75,377.0,18300.0,732.0,24199.35,485993315.0,128315.0
OPTIDXNIFTY26-DEC-2024CE26550,30.25,30.25,31.75,21.75,26.35,24.1,6.15,175.0,200.0,8.0,24199.35,5315542.5,5542.5
OPTIDXNIFTY21-NOV-2024PE26550,1992.85,0.0,0.0,0.0,,2282.05,289.2,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE18000,7.65,7.0,8.2,6.15,6.65,6.65,1.0,21378.0,42700.0,1708.0,24199.35,768892970.0,292970.0
OPTIDXNIFTY28-NOV-2024PE24150,163.9,144.95,257.2,144.95,247.25,247.25,83.35,1729.0,110850.0,4434.0,24199.35,2702549953.75,25522453.75
OPTIDXNIFTY14-NOV-2024CE24150,440.45,384.1,413.0,206.0,219.8,219.8,220.65,14115.0,2088950.0,83558.0,24199.35,50924984426.25,476841926.25
OPTIDXNIFTY05-DEC-2024CE24150,646.5,526.25,526.25,485.7,487.75,487.75,158.75,34.0,300.0,12.0,24199.35,7396068.75,151068.75
OPTIDXNIFTY26-DEC-2024PE24150,279.7,288.35,370.9,288.3,363.65,363.65,83.95,250.0,9600.0,384.0,24199.35,234911080.0,3071080.0
OPTIDXNIFTY26-DEC-2024CE24150,812.55,681.5,689.25,658.05,661.85,661.85,150.7,87.0,625.0,25.0,24199.35,15512151.25,418401.25
OPTIDXNIFTY14-NOV-2024PE23150,7.8,8.0,9.45,5.1,7.8,7.8,0.0,8028.0,883250.0,35330.0,24199.35,20453651007.5,6413507.5
OPTIDXNIFTY07-NOV-2024CE23150,1338.35,1219.7,1219.7,1045.1,1054.7,24199.35,22861.0,56.0,725.0,29.0,24199.35,17579000.0,795250.0
OPTIDXNIFTY21-NOV-2024CE23150,1401.95,0.0,0.0,0.0,,1119.05,282.9,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY21-NOV-2024PE23150,3.8,0.0,0.0,0.0,,9.85,6.05,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE25400,201.65,183.35,193.35,124.6,128.95,128.95,72.7,3075.0,77925.0,3117.0,24199.35,1990258263.75,10963263.75
OPTIDXNIFTY14-NOV-2024CE25400,8.35,7.0,11.5,2.9,3.35,3.35,5.0,34766.0,3349825.0,133993.0,24199.35,85098600176.25,13045176.25
OPTIDXNIFTY14-NOV-2024PE25400,876.2,1044.9,1180.15,1044.9,1176.65,1176.65,300.45,864.0,16650.0,666.0,24199.35,442282095.0,19372095.0
OPTIDXNIFTY14-NOV-2024PE24300,115.55,119.0,232.3,115.05,214.75,214.75,99.2,58472.0,13250150.0,530006.0,24199.35,324570391126.25,2591746126.25
OPTIDXNIFTY30-JAN-2025CE25400,418.75,0.0,0.0,0.0,,314.8,103.95,26.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY05-DEC-2024PE25400,890.2,0.0,0.0,0.0,,1127.35,237.15,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE24300,757.75,727.95,733.5,563.95,572.65,572.65,185.1,3660.0,104025.0,4161.0,24199.35,2589555427.5,61747927.5
OPTIDXNIFTY28-NOV-2024PE25400,859.15,910.95,1120.9,910.95,1115.3,1115.3,256.15,3231.0,4100.0,164.0,24199.35,108548816.25,4408816.25
OPTIDXNIFTY14-NOV-2024CE24300,331.0,301.05,316.45,131.05,139.25,139.25,191.75,94768.0,14721500.0,588860.0,24199.35,360043902751.25,2311452751.25
OPTIDXNIFTY14-NOV-2024PE26100,1577.5,1601.6,1879.2,1601.6,1879.2,1879.2,301.7,208.0,4450.0,178.0,24199.35,124428395.0,8283395.0
OPTIDXNIFTY28-NOV-2024CE25500,38.7,37.5,38.15,19.0,19.65,19.65,19.05,81227.0,3507950.0,140318.0,24199.35,89534233125.0,81508125.0
OPTIDXNIFTY26-DEC-2024PE25500,923.1,964.05,1153.35,949.0,1138.65,1138.65,215.55,13418.0,26275.0,1051.0,24199.35,698748438.75,28735938.75
OPTIDXNIFTY30-JAN-2025CE25500,337.4,344.95,344.95,240.0,251.5,251.5,85.9,1733.0,43050.0,1722.0,24199.35,1109313213.75,11538213.75
OPTIDXNIFTY05-DEC-2024CE25500,79.5,50.3,74.95,40.0,40.7,40.7,38.8,705.0,25775.0,1031.0,24199.35,658554825.0,1292325.0
OPTIDXNIFTY26-DEC-2024PE23700,180.1,188.0,241.3,188.0,233.7,233.7,53.6,4558.0,34175.0,1367.0,24199.35,817771272.5,7823772.5
OPTIDXNIFTY21-NOV-2024PE23700,50.7,50.0,83.2,50.0,75.75,75.75,25.05,2801.0,195850.0,7834.0,24199.35,4655734800.0,14089800.0
OPTIDXNIFTY05-DEC-2024CE23700,988.45,0.0,0.0,0.0,,752.0,236.45,9.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-NOV-2024CE27350,0.15,0.0,0.0,0.0,,0.05,0.1,86.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE27350,2624.55,0.0,0.0,0.0,,2908.95,284.4,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY30-JAN-2025PE23700,209.35,300.0,315.0,292.6,310.6,310.6,101.25,81.0,350.0,14.0,24199.35,8403498.75,108498.75
OPTIDXNIFTY21-NOV-2024CE24950,102.7,109.0,109.0,32.6,35.7,35.7,67.0,890.0,43975.0,1759.0,24199.35,1099121315.0,1945065.0
OPTIDXNIFTY25-SEP-2025CE20000,5663.75,0.0,0.0,0.0,,5381.25,282.5,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY24-DEC-2025CE20000,5985.85,5600.0,5700.0,5536.5,5625.25,5625.25,360.6,137.0,225.0,9.0,24199.35,5774043.75,1274043.75
OPTIDXNIFTY07-NOV-2024CE24950,2.5,1.6,2.25,0.05,0.1,24199.35,24196.85,67076.0,58619125.0,2344765.0,24199.35,1462587772763.75,40604013.75
OPTIDXNIFTY31-DEC-2026CE20000,7252.85,0.0,0.0,0.0,,6975.6,277.25,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY29-JUN-2028CE20000,8932.9,0.0,0.0,0.0,,8655.75,277.15,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE15000,4.4,4.0,4.95,3.05,3.45,3.45,0.95,3222.0,23675.0,947.0,24199.35,355218598.75,93598.75
OPTIDXNIFTY30-DEC-2027PE15000,2.1,0.0,0.0,0.0,,2.5,0.4,14.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-JUN-2025PE15000,0.05,0.0,0.0,0.0,,0.05,0.0,70.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024PE27700,2966.1,0.0,0.0,0.0,,3253.1,287.0,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY31-DEC-2026PE15000,0.65,0.0,0.0,0.0,,0.85,0.2,86.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE15000,9622.1,0.0,0.0,0.0,,9334.65,287.45,619.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY25-JUN-2026PE15000,0.2,0.0,0.0,0.0,,0.3,0.1,34.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE27100,16.65,19.0,19.7,18.8,18.9,8.4,8.25,78.0,2275.0,91.0,24199.35,61696561.25,44061.25
OPTIDXNIFTY14-NOV-2024PE26400,1876.95,2122.0,2159.4,2110.0,2157.25,2157.25,280.3,75.0,1825.0,73.0,24199.35,52081520.0,3901520.0
OPTIDXNIFTY07-NOV-2024CE26400,0.45,0.35,0.45,0.05,0.1,24199.35,24198.9,13041.0,2029700.0,81188.0,24199.35,53584488733.75,408733.75
OPTIDXNIFTY21-NOV-2024CE26400,5.25,8.45,8.45,3.45,4.45,4.45,0.8,161.0,1525.0,61.0,24199.35,40267261.25,7261.25
OPTIDXNIFTY14-NOV-2024CE26400,2.0,2.05,2.5,1.65,2.2,2.2,0.2,20308.0,1452100.0,58084.0,24199.35,38338659261.25,3219261.25
OPTIDXNIFTY14-NOV-2024CE26250,2.15,2.25,3.0,1.7,2.35,2.35,0.2,8335.0,544500.0,21780.0,24199.35,14294453133.75,1328133.75
OPTIDXNIFTY26-DEC-2024PE26250,1594.8,0.0,0.0,0.0,,1854.65,259.85,55.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY05-DEC-2024PE26250,,0.0,0.0,0.0,,1922.6,,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY28-NOV-2024CE26250,10.55,10.75,12.1,6.8,8.75,8.75,1.8,1328.0,28025.0,1121.0,24199.35,735901997.5,245747.5
OPTIDXNIFTY14-NOV-2024PE26250,1727.2,0.0,0.0,0.0,,2016.7,289.5,60.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY21-NOV-2024PE26250,1694.95,0.0,0.0,0.0,,1983.05,288.1,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY26-DEC-2024CE26250,51.75,41.65,41.65,30.0,34.85,34.85,16.9,238.0,800.0,32.0,24199.35,21028390.0,28390.0
OPTIDXNIFTY28-NOV-2024PE26250,1667.1,0.0,0.0,0.0,,1951.3,284.2,63.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY07-NOV-2024CE26250,0.5,0.35,0.45,0.05,0.1,24199.35,24198.85,9097.0,1049425.0,41977.0,24199.35,27547615522.5,209272.5
OPTIDXNIFTY05-DEC-2024CE26250,,0.0,0.0,0.0,,7.55,,0.0,0.0,0.0,24199.35,0.0,0.0
OPTIDXNIFTY21-NOV-2024CE26250,1.7,6.0,6.0,4.25,4.25,0.3,1.4,17.0,125.0,5.0,24199.35,3281890.0,640.0
