CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY27-JUN-2024PE24450,1764.45,1764.45,1812.35,1764.45,1812.35,1801.9,37.45,4.0,75.0,3.0,22442.7,1968478.75,134728.75
OPTIDXNIFTY30-MAY-2024CE23000,123.8,119.0,153.75,109.45,116.6,116.6,7.2,97714.0,2880475.0,115219.0,22442.7,66618575702.5,367650702.5
OPTIDXNIFTY30-MAY-2024PE23550,1017.7,1009.0,1010.0,972.85,975.85,1047.05,29.35,158.0,425.0,17.0,22442.7,10425547.5,416797.5
OPTIDXNIFTY27-MAR-2025CE23000,1714.7,0.0,0.0,0.0,,1676.15,38.55,0.0,0.0,0.0,22442.7,0.0,0.0
OPTIDXNIFTY06-JUN-2024CE23000,356.25,335.05,390.0,307.35,320.2,320.2,36.05,1403.0,57375.0,2295.0,22442.7,1338881745.0,19256745.0
OPTIDXNIFTY25-JUL-2024CE23550,337.25,0.0,0.0,0.0,,310.05,27.2,0.0,0.0,0.0,22442.7,0.0,0.0
OPTIDXNIFTY31-DEC-2026PE23000,652.65,896.5,896.5,896.5,896.5,657.35,4.7,336.0,25.0,1.0,22442.7,597412.5,22412.5
OPTIDXNIFTY25-JUL-2024CE23000,612.0,639.8,657.15,596.0,612.35,612.35,0.35,1773.0,19375.0,775.0,22442.7,457686908.75,12061908.75
OPTIDXNIFTY28-DEC-2028CE23000,6560.8,0.0,0.0,0.0,,6512.45,48.35,0.0,0.0,0.0,22442.7,0.0,0.0
OPTIDXNIFTY26-JUN-2025CE23000,2096.2,0.0,0.0,0.0,,2056.5,39.7,0.0,0.0,0.0,22442.7,0.0,0.0
