CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY30-MAY-2024CE23400,183.65,174.15,174.15,124.5,129.75,129.75,53.9,58.0,1600.0,32.0,21817.45,37656645.0,216645.0
OPTIDXNIFTY18-APR-2024PE20650,6.4,0.0,0.0,0.0,,13.1,6.7,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY04-APR-2024CE20650,1471.35,0.0,0.0,0.0,,1230.75,240.6,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE22850,282.3,0.0,0.0,0.0,,203.3,79.0,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY04-APR-2024PE22850,754.65,860.0,860.05,860.0,860.05,976.05,221.4,10.0,350.0,7.0,21817.45,8298502.5,301002.5
OPTIDXNIFTY21-MAR-2024CE22850,1.2,0.95,1.6,0.95,1.35,1.35,0.15,34424.0,8631650.0,172633.0,21817.45,197245230437.5,12027937.5
OPTIDXNIFTY18-APR-2024CE23900,9.5,9.7,10.5,7.0,8.95,8.95,0.55,153.0,5000.0,100.0,21817.45,119541237.5,41237.5
OPTIDXNIFTY30-MAY-2024PE23900,1591.45,0.0,0.0,0.0,,1809.35,217.9,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY10-APR-2024PE23900,1744.4,0.0,0.0,0.0,,1985.9,241.5,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY25-APR-2024PE23900,1688.25,0.0,0.0,0.0,,1924.55,236.3,18.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY18-APR-2024PE21200,37.6,0.0,0.0,0.0,,66.45,28.85,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY25-APR-2024PE21200,76.45,83.75,113.65,83.75,106.4,106.4,29.95,7577.0,314500.0,6290.0,21817.45,6699707322.5,32307322.5
OPTIDXNIFTY30-MAY-2024CE23900,67.6,0.0,0.0,0.0,,42.9,24.7,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY21-MAR-2024PE21200,2.05,2.45,5.0,1.6,1.95,1.95,0.1,74195.0,35579150.0,711583.0,21817.45,754379453065.0,101473065.0
OPTIDXNIFTY04-APR-2024CE23900,3.7,0.0,0.0,0.0,,0.05,3.65,96.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY04-APR-2024CE21200,935.1,825.0,866.85,825.0,829.4,829.4,105.7,8.0,150.0,3.0,21817.45,3306062.5,126062.5
OPTIDXNIFTY28-MAR-2024CE21200,947.95,833.0,858.05,698.0,708.45,708.45,239.5,2342.0,94000.0,1880.0,21817.45,2059961950.0,67161950.0
OPTIDXNIFTY18-APR-2024CE21200,1014.5,0.0,0.0,0.0,,801.2,213.3,0.0,0.0,0.0,21817.45,0.0,0.0
OPTIDXNIFTY25-APR-2024CE21200,1054.25,1071.0,1090.0,958.0,958.0,958.0,96.25,106.0,3450.0,69.0,21817.45,76642840.0,3502840.0
OPTIDXNIFTY18-APR-2024PE23900,1713.15,0.0,0.0,0.0,,1952.3,239.15,0.0,0.0,0.0,21817.45,0.0,0.0
