CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY27-JUN-2024CE20650,2217.95,0.0,0.0,0.0,,1972.5,245.45,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE23400,111.4,89.35,94.25,66.45,68.4,68.4,43.0,3111.0,404900.0,8098.0,22272.5,9506365255.0,31705255.0
OPTIDXNIFTY16-MAY-2024PE23400,861.75,0.0,0.0,0.0,,1059.3,197.55,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY27-JUN-2024PE20650,37.0,65.65,83.3,65.05,82.65,51.1,14.1,19.0,4650.0,93.0,22272.5,96362710.0,340210.0
OPTIDXNIFTY18-APR-2024PE23400,830.8,987.7,1076.95,938.8,1076.95,1076.95,246.15,69.0,4600.0,92.0,22272.5,112191730.0,4551730.0
OPTIDXNIFTY09-MAY-2024PE23400,857.8,0.0,0.0,0.0,,1065.75,207.95,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY25-APR-2024CE23400,7.8,7.85,7.85,2.45,3.7,3.7,4.1,14122.0,3061900.0,61238.0,22272.5,71662247217.5,13787217.5
OPTIDXNIFTY25-APR-2024CE20650,1921.65,1795.0,1795.0,1795.0,1795.0,1662.55,259.1,10.0,50.0,1.0,22272.5,1122250.0,89750.0
OPTIDXNIFTY30-MAY-2024CE20650,2081.15,1880.0,1880.0,1880.0,1880.0,1880.0,201.15,11.0,500.0,10.0,22272.5,11265000.0,940000.0
OPTIDXNIFTY25-APR-2024PE23400,799.4,949.95,1052.0,904.35,1044.9,1044.9,245.5,155.0,2550.0,51.0,22272.5,62173100.0,2503100.0
OPTIDXNIFTY18-APR-2024CE23400,1.9,1.5,2.95,0.95,1.65,1.65,0.25,45346.0,13118100.0,262362.0,22272.5,306980626532.5,17086532.5
OPTIDXNIFTY27-JUN-2024PE23400,898.0,945.55,988.8,914.85,988.8,988.8,90.8,85.0,600.0,12.0,22272.5,14608185.0,568185.0
OPTIDXNIFTY02-MAY-2024PE23400,851.65,0.0,0.0,0.0,,1072.55,220.9,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE23700,57.85,56.9,56.9,34.5,35.45,35.45,22.4,4687.0,520700.0,10414.0,22272.5,12361550307.5,20960307.5
OPTIDXNIFTY16-MAY-2024CE23700,83.45,0.0,0.0,0.0,,41.5,41.95,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY09-MAY-2024CE23700,54.05,14.0,14.0,14.0,14.0,22.25,31.8,1.0,50.0,1.0,22272.5,1185700.0,700.0
OPTIDXNIFTY25-APR-2024CE23700,4.8,4.2,4.7,1.75,3.0,3.0,1.8,6340.0,1975200.0,39504.0,22272.5,46818116400.0,5876400.0
OPTIDXNIFTY30-MAY-2024PE23700,996.75,0.0,0.0,0.0,,1303.95,307.2,81.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY02-MAY-2024PE23700,1117.25,0.0,0.0,0.0,,1357.85,240.6,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY02-MAY-2024CE23700,10.25,10.5,10.5,6.5,8.35,8.35,1.9,418.0,24350.0,487.0,22272.5,577282427.5,187427.5
OPTIDXNIFTY25-APR-2024CE24500,2.55,2.45,3.0,1.55,2.4,2.4,0.15,2937.0,375150.0,7503.0,22272.5,9191921167.5,746167.5
OPTIDXNIFTY02-MAY-2024CE22100,618.65,468.0,552.5,438.3,441.3,441.3,177.35,267.0,16650.0,333.0,22272.5,375982620.0,8017620.0
OPTIDXNIFTY16-MAY-2024CE22100,739.05,776.05,776.05,776.05,776.05,546.35,192.7,1.0,50.0,1.0,22272.5,1143802.5,38802.5
OPTIDXNIFTY25-APR-2024PE24500,1919.0,2035.75,2079.1,2019.5,2079.1,2180.1,261.1,3.0,450.0,9.0,22272.5,11947232.5,922232.5
OPTIDXNIFTY30-MAY-2024PE24500,1714.65,1920.3,1970.0,1820.0,1961.55,1961.55,246.9,129.0,8450.0,169.0,22272.5,222834480.0,15809480.0
OPTIDXNIFTY18-APR-2024CE22100,476.95,350.05,400.55,242.7,255.15,255.15,221.8,3688.0,2538300.0,50766.0,22272.5,56882487912.5,786057912.5
OPTIDXNIFTY30-MAY-2024CE22100,793.35,793.0,793.0,621.5,628.4,628.4,164.95,786.0,51300.0,1026.0,22272.5,1167512022.5,33782022.5
OPTIDXNIFTY16-MAY-2024PE22100,169.85,0.0,0.0,0.0,,237.45,67.6,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY18-APR-2024PE22100,12.05,19.0,53.4,19.0,37.45,37.45,25.4,52636.0,63654100.0,1273082.0,22272.5,1408873046475.0,2117436475.0
OPTIDXNIFTY18-APR-2024CE24500,1.2,1.1,1.75,0.6,1.25,1.25,0.05,44628.0,3830200.0,76604.0,22272.5,93843860670.0,3960670.0
OPTIDXNIFTY25-APR-2024PE22100,48.7,78.95,106.7,57.45,93.1,93.1,44.4,26422.0,6804150.0,136083.0,22272.5,150899140795.0,527425795.0
OPTIDXNIFTY09-MAY-2024CE22100,679.05,0.0,0.0,0.0,,483.0,196.05,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY25-APR-2024CE22100,550.75,449.95,475.0,345.0,351.45,351.45,199.3,5025.0,231050.0,4621.0,22272.5,5197589095.0,91384095.0
OPTIDXNIFTY02-MAY-2024CE24500,3.7,3.75,6.75,2.8,3.8,3.8,0.1,234.0,11300.0,226.0,22272.5,276891782.5,41782.5
OPTIDXNIFTY16-MAY-2024PE24500,1830.8,0.0,0.0,0.0,,2082.4,251.6,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY25-APR-2024CE22650,163.9,114.2,121.7,64.35,66.95,66.95,96.95,10173.0,2054850.0,41097.0,22272.5,46723398857.5,181046357.5
OPTIDXNIFTY18-APR-2024CE22650,81.2,38.65,45.55,12.05,13.25,13.25,67.95,86083.0,50165350.0,1003307.0,22272.5,1137530868967.5,1285691467.5
OPTIDXNIFTY30-MAY-2024PE22650,314.5,370.55,436.85,352.1,430.3,430.3,115.8,492.0,16600.0,332.0,22272.5,382440975.0,6450975.0
OPTIDXNIFTY30-MAY-2024CE22650,416.95,349.45,364.2,295.35,299.2,299.2,117.75,298.0,20350.0,407.0,22272.5,467600830.0,6673330.0
OPTIDXNIFTY18-APR-2024PE22650,162.6,206.2,360.65,206.2,345.65,345.65,183.05,19311.0,3626900.0,72538.0,22272.5,83173865452.5,1024580452.5
OPTIDXNIFTY27-JUN-2024PE23950,1284.05,0.0,0.0,0.0,,1480.45,196.4,13.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY02-MAY-2024CE23950,9.0,5.55,7.3,4.55,5.6,3.3,5.7,106.0,6550.0,131.0,22272.5,156912092.5,39592.5
OPTIDXNIFTY16-MAY-2024PE23950,1320.45,0.0,0.0,0.0,,1553.55,233.1,0.0,0.0,0.0,22272.5,0.0,0.0
OPTIDXNIFTY30-MAY-2024CE23950,101.8,44.55,44.55,21.25,22.15,22.15,79.65,128.0,14700.0,294.0,22272.5,352429727.5,364727.5
OPTIDXNIFTY30-MAY-2024CE23200,168.15,134.55,143.35,104.45,107.1,107.1,61.05,5800.0,548250.0,10965.0,22272.5,12785899802.5,66499802.5
OPTIDXNIFTY30-MAY-2024PE23200,611.25,715.25,794.7,673.75,780.15,780.15,168.9,472.0,13850.0,277.0,22272.5,331523207.5,10203207.5
OPTIDXNIFTY18-APR-2024CE23200,3.0,2.5,2.9,1.1,1.9,1.9,1.1,85500.0,38931000.0,778620.0,22272.5,903259199507.5,59999507.5
OPTIDXNIFTY25-APR-2024CE23200,16.05,10.9,10.9,5.05,6.15,6.15,9.9,46593.0,7277400.0,145548.0,22272.5,168890249775.0,54569775.0
OPTIDXNIFTY27-JUN-2024CE23200,417.45,360.05,368.5,319.3,323.35,323.35,94.1,364.0,26500.0,530.0,22272.5,623805980.0,9005980.0
