CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY11-JUL-2024CE21300,2309.25,0.0,0.0,0.0,,2355.4,46.15,0.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY20-JUN-2024PE21300,0.45,0.2,0.25,0.05,0.05,23567.0,23566.55,4935.0,247850.0,9914.0,23567.0,5279235711.25,30711.25
OPTIDXNIFTY18-JUL-2024CE23000,845.75,0.0,0.0,0.0,,872.5,26.75,0.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY27-MAR-2025CE23000,2435.1,0.0,0.0,0.0,,2463.15,28.05,0.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY18-JUL-2024PE23550,409.65,290.15,292.45,260.95,261.0,261.0,148.65,14.0,700.0,28.0,23567.0,16679228.75,194228.75
OPTIDXNIFTY11-JUL-2024CE24550,100.45,0.0,0.0,0.0,,102.4,1.95,75.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY25-JUL-2024CE23550,430.25,442.45,485.95,404.5,456.4,456.4,26.15,1009.0,54675.0,2187.0,23567.0,1311930216.25,24333966.25
OPTIDXNIFTY31-DEC-2026PE23000,762.55,760.0,760.0,760.0,760.0,750.45,12.1,413.0,150.0,6.0,23567.0,3564000.0,114000.0
OPTIDXNIFTY25-JUL-2024CE23000,799.2,805.0,883.15,760.0,844.0,844.0,44.8,34089.0,267700.0,10708.0,23567.0,6378070492.5,220970492.5
OPTIDXNIFTY18-JUL-2024CE24550,149.45,0.0,0.0,0.0,,153.4,3.95,0.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY04-JUL-2024CE23550,229.5,230.05,290.25,206.0,255.3,255.3,25.8,1812.0,331350.0,13254.0,23567.0,7884788970.0,81496470.0
OPTIDXNIFTY11-JUL-2024PE23000,100.2,102.0,113.4,75.0,78.5,78.5,21.7,3645.0,67300.0,2692.0,23567.0,1553634413.75,5734413.75
OPTIDXNIFTY20-JUN-2024PE23000,1.75,1.05,2.95,0.05,0.1,23567.0,23565.25,362360.0,217000900.0,8680036.0,23567.0,4991267545231.26,246845231.26
OPTIDXNIFTY28-DEC-2028CE23000,7641.7,0.0,0.0,0.0,,7673.15,31.45,0.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY04-JUL-2024CE24550,9.9,10.1,13.2,6.55,7.9,7.9,2.0,660.0,97975.0,3919.0,23567.0,2406125790.0,839540.0
OPTIDXNIFTY30-DEC-2027PE23000,714.15,0.0,0.0,0.0,,703.85,10.3,0.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE23550,572.85,441.9,441.9,400.0,408.05,408.05,164.8,98.0,525.0,21.0,23567.0,12581360.0,217610.0
OPTIDXNIFTY20-JUN-2024PE23550,99.35,74.7,168.4,0.05,1.85,23567.0,23467.65,627739.0,1313348150.0,52533926.0,23567.0,30957505572977.5,28156640477.5
OPTIDXNIFTY26-JUN-2025CE23000,2877.25,0.0,0.0,0.0,,2905.75,28.5,2.0,0.0,0.0,23567.0,0.0,0.0
OPTIDXNIFTY20-JUN-2024CE23500,77.55,90.0,136.0,37.0,64.7,23567.0,23489.45,173749.0,760915600.0,30436624.0,23567.0,17931216945473.8,49700345473.75
OPTIDXNIFTY18-JUL-2024PE23500,293.3,293.0,322.1,235.15,245.1,245.1,48.2,885.0,27600.0,1104.0,23567.0,656140572.5,7540572.5
OPTIDXNIFTY11-JUL-2024CE23500,336.3,360.85,399.6,308.85,363.6,363.6,27.3,509.0,19825.0,793.0,23567.0,472923132.5,7035632.5
OPTIDXNIFTY27-JUN-2024PE22500,7.45,7.15,8.75,3.5,4.6,4.6,2.85,317485.0,16475300.0,659012.0,23567.0,370773006143.75,78756143.75
OPTIDXNIFTY11-JUL-2024PE23500,251.35,245.0,278.95,195.35,209.9,209.9,41.45,1638.0,67725.0,2709.0,23567.0,1606773953.75,15236453.75
OPTIDXNIFTY18-JUL-2024CE23500,406.7,403.0,455.0,385.0,433.5,433.5,26.8,183.0,2600.0,104.0,23567.0,62200607.5,1100607.5
OPTIDXNIFTY04-JUL-2024PE23500,205.0,193.45,238.0,146.7,158.3,158.3,46.7,16131.0,1411525.0,56461.0,23567.0,33428949155.0,258111655.0
