CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY26-DEC-2024PE15000,0.05,0.0,0.0,0.0,,0.05,0.0,1039.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY26-JUN-2025PE15000,1.05,0.0,0.0,0.0,,0.9,0.15,68.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY30-DEC-2027PE15000,26.45,0.0,0.0,0.0,,24.55,1.9,14.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY01-AUG-2024PE23400,375.3,280.0,280.0,204.65,204.65,302.7,72.6,45.0,1150.0,46.0,23721.3,27216676.25,306676.25
OPTIDXNIFTY01-AUG-2024CE23400,690.3,635.7,717.55,625.65,713.8,713.8,23.5,2.0,175.0,7.0,23721.3,4214605.0,119605.0
OPTIDXNIFTY11-JUL-2024PE21950,7.8,0.0,0.0,0.0,,3.55,4.25,3.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY18-JUL-2024PE21950,18.9,17.05,17.05,17.05,17.05,10.85,8.05,54.0,25.0,1.0,23721.3,549176.25,426.25
OPTIDXNIFTY04-JUL-2024PE22350,8.9,7.6,9.45,6.3,8.4,8.4,0.5,1550.0,99525.0,3981.0,23721.3,2225108415.0,724665.0
OPTIDXNIFTY18-JUL-2024CE21950,1709.1,0.0,0.0,0.0,,1880.25,171.15,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY18-JUL-2024CE22350,1340.25,0.0,0.0,0.0,,1501.45,161.2,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY27-JUN-2024PE22350,2.55,1.5,3.95,1.25,3.55,3.55,1.0,20858.0,2442300.0,97692.0,23721.3,54591830660.0,6425660.0
OPTIDXNIFTY18-JUL-2024PE22350,48.15,0.0,0.0,0.0,,30.2,17.95,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY25-JUL-2024PE21950,35.1,30.6,37.05,28.0,29.55,29.55,5.55,486.0,5000.0,200.0,23721.3,109897087.5,147087.5
OPTIDXNIFTY29-AUG-2024CE21950,1981.6,0.0,0.0,0.0,,2138.25,156.65,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY01-AUG-2024PE21950,46.75,0.0,0.0,0.0,,32.35,14.4,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY04-JUL-2024CE22350,1239.7,1425.65,1425.65,1418.35,1423.7,1423.7,184.0,27.0,300.0,12.0,23721.3,7132111.25,427111.25
OPTIDXNIFTY04-JUL-2024CE21950,1640.6,1824.7,1833.0,1824.7,1830.45,1830.45,189.85,27.0,275.0,11.0,23721.3,6539622.5,503372.5
OPTIDXNIFTY04-JUL-2024PE21950,4.8,4.9,6.4,3.7,5.25,5.25,0.45,716.0,14500.0,580.0,23721.3,318341572.5,66572.5
OPTIDXNIFTY27-JUN-2024CE21950,1600.0,1760.0,1787.65,1739.4,1787.65,1787.65,187.65,1182.0,2100.0,84.0,23721.3,49770626.25,3675626.25
OPTIDXNIFTY25-JUL-2024PE22350,58.85,58.85,58.85,48.0,49.7,49.7,9.15,721.0,4975.0,199.0,23721.3,111442482.5,251232.5
OPTIDXNIFTY29-AUG-2024PE22350,171.25,0.0,0.0,0.0,,138.3,32.95,2.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY29-AUG-2024CE22350,1652.15,0.0,0.0,0.0,,1798.3,146.15,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY01-AUG-2024CE21950,1800.8,0.0,0.0,0.0,,1965.45,164.65,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY28-DEC-2028CE16000,12087.15,0.0,0.0,0.0,,12265.0,177.85,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY27-JUN-2024PE16000,0.45,0.2,1.0,0.2,0.85,0.85,0.4,3730.0,436175.0,17447.0,23721.3,6979063433.75,263433.75
OPTIDXNIFTY26-JUN-2025PE16000,3.85,0.0,0.0,0.0,,3.3,0.55,3.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY26-SEP-2024PE16000,7.2,6.0,6.4,5.05,5.3,5.3,1.9,2930.0,64825.0,2593.0,23721.3,1037566015.0,366015.0
OPTIDXNIFTY30-DEC-2027PE16000,47.45,0.0,0.0,0.0,,44.3,3.15,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY24-JUN-2027PE16000,40.35,0.0,0.0,0.0,,37.4,2.95,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY25-JUN-2026CE16000,9736.4,0.0,0.0,0.0,,9915.0,178.6,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY25-JUL-2024CE21200,2472.45,2510.0,2638.75,2500.0,2636.0,2636.0,163.55,198.0,1250.0,50.0,23721.3,29655347.5,3155347.5
OPTIDXNIFTY11-JUL-2024CE23900,136.45,145.9,208.0,137.2,201.95,201.95,65.5,2058.0,146925.0,5877.0,23721.3,3536623661.25,25116161.25
OPTIDXNIFTY18-JUL-2024PE23900,553.6,0.0,0.0,0.0,,445.6,108.0,0.0,0.0,0.0,23721.3,0.0,0.0
OPTIDXNIFTY18-JUL-2024CE23900,195.9,199.9,274.2,196.0,263.7,263.7,67.8,175.0,3025.0,121.0,23721.3,72982216.25,684716.25
